,_id,ltable_name,ltable_family,ltable_ecology,ltable_countries,ltable_threat_paragraph,ltable_conservation_paragraph,ltable_pop_trend,ltable_status,ltable_country_count,scientific_name,rtable_name,rtable_kingdom,rtable_phylum,rtable_class,rtable_order,rtable_family,genus,rtable_size,rtable_threats,rtable_conservation,rtable_threat_keywords,rtable_conservation_keywords,rtable_status,rtable_countries,rtable_country_count,rtable_tCount,label
7,1522478,caterpillar slug,Veronicellidae,,South Africa (KwaZulu-Natal); ,,,Unknown,Endangered,1,Laevicaulis haroldi,caterpillar slug ,Animalia,Mollusca,Gastropoda,Stylommatophora,Veronicellidae,Laevicaulis ,Extended length: up to 90 mm (2),The caterpillar slug is threatened by habitat loss and degradation as a result of ongoing urbanisation and development within its range. The original site of collection in a marsh near Durban has since been destroyed to make way for a road. These threats are exacerbated by the slugâ??s already restricted range which makes it especially vulnerable to the effects of its changing environment (2).,Although there are currently no conservation measures directly targeting the caterpillar slug individuals have been observed in Hluhluwe Game Reserve where its habitat may receive some protection. Furthermore its appearance in suburban gardens in the Pietermaritzburg area suggests that this slug may be adaptable to a certain degree of habitat modification flexibility that would undoubtedly help its prospects of survival (2). ,loss;environment; , ,Endangered,"['India', 'Russia', 'Malaysia', 'China', 'Indonesia']",5,2,1.0
17,8689373,catalina mahogany,Rosaceae,,United States (California); ,,,,Critically Endangered,1,Cercocarpus traskiae,catalina mahogany ,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Cercocarpus ,Height: 3 - 7 m (2)Trunk diameter: c. 20 cm (2),Historically a major threat to the Catalina mahogany was the introduction of <strong>herbivores</strong> such as goats deer and pigs to Santa Catalina Island. Goats and deer ate the seedling shoots and the leaves of the tree while pigs rooting through the ground destroyed seedlings and the roots (6).,Conservation efforts began in the 1970s with a detailed inventory of the remaining Catalina mahogany plants (8). In 1999 the entire Wild Boar Gully area was fenced off enclosing 45 hectares (4). This action was successful and resulted in the numbers of seedlings and saplings increasing year after year reaching a peak of 113 individuals in 2002. However it is not known what portion of these seedlings and saplings are the Catalina mahogany and which are <strong>hybrids</strong> (6). ,loss;invasive; , ,Critically Endangered,"['Ukraine', 'Morocco', 'Russia', 'Hungary']",4,2,1.0
21,7512846,"lorenz von liburnaus woolly lemur, western avahi, western woolly lemur",Indriidae,Terrestrial,Madagascar; ,"
    The major threat is forest destruction due to annual burning that creates new cattle pasture. There may be some localized hunting, but this is probably not a major threat.

    
  ","['\n    This species is listed on Appendix I of CITES. ', <span lang=""EN-CA"">This species is known to occur in Ankarafantsika National Park, the Bora Special Reserve, and in the Mariarano Classified Forest. It may perhaps be the species found in the Ankarana Special Reserve, though this has yet to be confirmed. Further research on population numbers and distribution is required. Consideration should be given to improving the protected areas status of Mariarano Classified Forest, which is already very well protected by the local people.<span lang=""EN-CA""> Field surveys and genetic studies of <em>Avahi </em>populations at Ankarana are also needed to determine the taxonomic and conservation status of woolly lemurs in that area.</span>
</span>]",Decreasing,Endangered,1,Avahi occidentalis,western woolly lemur ,Animalia,Chordata,Mammalia,Primates,Indriidae,Avahi ,700 â?? 900 g (2),15 species of lemur have become extinct since sea-faring humans arrived on Madagascarâ??s shores around 2000 years ago and humanity is still wreaking ecological destruction on the island (7). Habitat destruction through forest felling and burning poses the principle threat to the biodiversity on Madagascar including the western woolly lemur (2). Small-scale but widespread clearing of forests is conducted for firewood cattle grazing charcoal production and construction materials. In the dry season people often set brush fires to clear pasture for cattle but the fires frequently burn out of control and threaten protected areas (8). Hunting also occurs in some regions. These factors coupled with the speciesâ?? restricted range give cause for concern (2).,The western woolly lemur is confirmed in only two protected areas Ankarafantsika Nature Reserve and Manongarivo Special Reserve although this species has also been reported in Ankarana Special Reserve (2) (4). It has so far been impossible to keep western woolly monkeys in captivity probably because of their highly selective <strong>folivorous</strong> diet. It appears therefore that conservation of forests in situ where this species occurs is the best viable option of protecting the western woolly lemur (6). ,hunting; ,protected; ,Critically Endangered,['Australia'],1,1,1.0
23,1191527,"bluelegged mantella, tular golden frog, tular mantella, tulear golden frog",Mantellidae,Terrestrial; Freshwater,Madagascar; ,"
    The main threat to this species is habitat loss due to grazing and fire, and in some localized regions due to mining for sapphires. It is actively sought after for the pet trade, and during the rainy season up to several thousand specimens can be collected. Such collecting might pose a major threat to the species, but this has not, as yet, been demonstrated.

    
  ","['\n    It occurs in Parque Nacional de Isalo. Trade in this species needs to be very carefully regulated, and the populations require close monitoring (Andreone ', <span style=""font-style: italic;"">et al</span>, '. 2006). It is listed on CITES Appendix II.\n\n    \n  ']",Decreasing,Endangered,1,Mantella expectata,bluelegged mantella ,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella ,1 â?? 3 g (3),Several thousand blue-legged mantellas are thought to be collected every year from some regions in the Isalo Massif(3). Aside from over-collection the extremely small range of these critically endangered frogs is threatened with habitat loss as a result of grazing fires and sapphire mining operations (1).,Listing on Appendix II of the Convention on International Trade in Endangered Species provides the blue-legged mantella with some protection. It requires that an export licence is obtained for any trade in this species. A trade quota to prevent over-exploitation of this frog is crucial to its survival as even the protection offered by the Isalo National Park has not prevented the capture of the blue-legged mantella (1). Anyhow recent research showed that the species is still locally abundant (5). ,loss; , ,Endangered,"['Taiwan', 'China', 'Vietnam']",3,1,1.0
25,4646125,"malagasy giant jumping rat, malagasy giant rat",Nesomyidae,Terrestrial,Madagascar; ,"
    The historical decline of this species has been partly through climatic change leading to increased aridification of south-western Madagascar, and also the extensive modification of suitable habitat by humans since their arrival on the island. Current areas of habitat are threatened by slash and burn agriculture, charcoal production, burning for cattle pasture and logging (Sommer 2003). There is a road that now cuts through the middle of the species' range, and has divided the range. Throughout its range, increasing visits by hunters and their dogs have targeted this species. Also, this species has declined with the introduction of feral dogs and cats, by predation and also potentially transmission of lethal toxoplasmosis. This species could be susceptible to hantavirus, which has been shown in some rodents in eastern Madagascar.

    
  ","['\n    The new Menabe-Antimena protected area has temporary protection order and covers the entire range of the species. A successful captive-breeding programme for this species has been established by the Durrell Wildlife Conservation Trust (see Wright ', <em>et al.</em>, ' 2003). There is ongoing research on potential pathogens, and there is a need to control feral dogs and cats.\n\n    \n  ']",Decreasing,Endangered,1,Hypogeomys antimena,malagasy giant rat ,Animalia,Chordata,Mammalia,Rodentia,Nesomyidae,Hypogeomys ,1 â?? 1.5 kg (2),Like many of Madagascarâ??s unique species the Malagasy giant rat is thought to have become highly endangered due to habitat loss and disturbance and predation by and competition with introduced species (8). For centuries Madagascarâ??s forests have experienced successive waves of degradation at the hands of human colonists each with different destructive patterns of land use (7). In more recent years illegal and commercial logging charcoal production and burning to clear land for agriculture or cattle pasture have all had a devastating impact often changing open forest into dense shrubby undergrowth unsuitable as rat habitat or destroying the vegetation completely (3). The rats continue to suffer from human disturbance in the remaining forests which are used by the villagers to gather firewood collect honey dig up edible roots and hunt tenrecs and lemurs (3) (7). Predation by introduced predators such as dogs may also be playing a significant role in this speciesâ?? decline (3).,This large rodent is in urgent need of conservation and its future remains highly uncertain. The Durrell Wildlife Conservation Trust is currently working closely with the Madagascan government and local community to help protect the species and has also established a captive breeding programme (5). The Menabe Forest an Alliance for Zero Extinction site due to the presence of this and a number of other endangered species was previously heavily impacted by subsistence farming wood extraction and livestock ranching. Fortunately in order to protect its unique but rapidly diminishing biodiversity the Madagascan government aims to expand the nationâ??s protected area network and on March 28 2006 the Minister of the Environment Water and Forests signed a decree giving 125000 hectares of Menabe Forest temporary protected status. This is the first step towards making the site an official protected area. However while community and conservation groups have begun the slow process of agreeing on the official boundaries and goals of the new protected area (9) prospectors have begun using dynamite to search for oil reserves in Menabe causing concerns about further forest degradation (7). Official full protected status is urgently needed in this area if the Malagasy giant rat is to be successfully brought back from the brink of extinction. ,loss;pet; ,captive breeding;protected; ,Endangered,['Canada'],1,2,1.0
33,8966650,lydenburg cycad,Zamiaceae,Terrestrial,South Africa (Limpopo Province); ,"
    This species has suffered much from the activities of collectors and in addition, large troops of baboons damage immature cones and this could explain the absence of seedlings.

    
  ",['\n    This species is listed on Appendix I of the CITES Appendices.\n\n    \n  '],Decreasing,Critically Endangered,1,Encephalartos inopinus,cycad ,Plantae,Tracheophyta,Cycadopsida,Cycadales,Zamiaceae,Encephalartos ,Height: up to 3 m (2),Over the past few decades many South African cycads have become increasingly scarce in the wild with many species now facing the very real threat of extinction. Various factors account for their decline but the main threats include illegal harvesting for horticulture food and medicine habitat loss and the spread of alien vegetation (10). Owing to its distinctive appearance <i>E. inopinus</i> has suffered greatly from the activities of collectors with the remaining plants now scattered sparsely over its restricted range (2) (6).,There are not known to be any specific conservation measures in place for this Critically Endangered species but like all South African cycads <i>E. inopinus</i> is partially protected by its listing on Appendix I of CITES which permits trade only under exceptional circumstances (3). ,loss; ,cites;protected; ,Critically Endangered,"['Australia', 'South Africa', 'Brazil']",3,1,1.0
48,1199442,"bluelegged mantella, tular golden frog, tular mantella, tulear golden frog",Mantellidae,Terrestrial; Freshwater,Madagascar; ,"
    The main threat to this species is habitat loss due to grazing and fire, and in some localized regions due to mining for sapphires. It is actively sought after for the pet trade, and during the rainy season up to several thousand specimens can be collected. Such collecting might pose a major threat to the species, but this has not, as yet, been demonstrated.

    
  ","['\n    It occurs in Parque Nacional de Isalo. Trade in this species needs to be very carefully regulated, and the populations require close monitoring (Andreone ', <span style=""font-style: italic;"">et al</span>, '. 2006). It is listed on CITES Appendix II.\n\n    \n  ']",Decreasing,Endangered,1,Mantella expectata,bluelegged mantella ,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella ,1 â?? 3 g (3),Several thousand blue-legged mantellas are thought to be collected every year from some regions in the Isalo Massif(3). Aside from over-collection the extremely small range of these critically endangered frogs is threatened with habitat loss as a result of grazing fires and sapphire mining operations (1).,Listing on Appendix II of the Convention on International Trade in Endangered Species provides the blue-legged mantella with some protection. It requires that an export licence is obtained for any trade in this species. A trade quota to prevent over-exploitation of this frog is crucial to its survival as even the protection offered by the Isalo National Park has not prevented the capture of the blue-legged mantella (1). Anyhow recent research showed that the species is still locally abundant (5). ,loss; , ,Endangered,['Turkey'],1,1,1.0
49,4143489,jeweled toad,Bufonidae,Terrestrial; Freshwater,Mexico; ,"
    The main threat is habitat loss due to agricultural expansion, wood extraction, and the expansion of plantations.

    
  ","['\n    Protection of the suburban and tropical dry areas around Acapulco represents the only chance for the survival of this species. It is protected by Mexican law under the ""Special Protection"" category (Pr).\n\n    \n  ']",Decreasing,Endangered,1,Incilius gemmifer,jeweled toad ,Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius ,Snout-vent length: up to 8 cm (2),The main threat to the jeweled toad is habitat loss due to the spread of agriculture the expansion of plantations and wood extraction. Its population is believed to be small and declining and its highly restricted distribution puts it at particular risk of extinction (1).,The jeweled toad is legally protected in Mexico but its only real chance of survival is likely to be the effective protection of suburban and tropical dry areas around Acapulco (1). ,loss;disease;pollution; ,captive breeding;protected; ,Endangered,"['Cambodia', 'Vietnam']",2,3,1.0
53,4979395,"mitred leaf monkey, sumatran surili",Cercopithecidae,Terrestrial,Indonesia (Sumatera); ,"
    There has been extensive loss of habitat, especially for oil palm plantations, and this is a serious threat. However, the species has some tolerance to forest conversion. Trapping of the species for the illegal pet trade is a threat across their range, with some incidental hunting for food. Forest fragmentation is a long-term consideration for population persistence (Manullang pers. comm.).

    
  ","['\n    This species is listed under CITES Appendix II, and is protected by national law. It is known to occur in five protected areas: Berbak National Park, Bukit Barisan National Park, Bukit Sebelah Protection Forest, Kerinci-Seblat National Park, Way Kambas National Park (Indonesia).\n\n    \n  ']",Decreasing,Endangered,1,Presbytis melalophos,mitred leaf monkey ,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Presbytis ,5.8 â?? 7.4 kg (2),Indonesia's status as the world's number-one supplier of plywood and a major supplier of palm oil poses a significant threat to this species (8). Whilst this species is tolerant to the alteration of its habitat to some degree the extensive loss of suitable habitat is causing population numbers to decline (1). The threat of habitat loss is compounded by the rise of poaching of this species for the pet trade and food (1) (9).,The mitred leaf monkey is protected by national law in Indonesia (1) and is listed under Appendix II of the Convention on International Trade in Endangered Species (CITES) (10). This species is found in five protected areas in Indonesia: Berbak National Park Bukit Barisan National Park Bukit Sebelah Protection Forest Kerinci-Seblat National Park and Way Kambas National Park (1) which may help protect certain populations from the threat of habitat loss. ,loss;poaching;pet; ,cites;protected; ,Endangered,['China'],1,3,1.0
55,7199307,twofingered skink,Scincidae,Terrestrial,Spain; Algeria; Morocco; ,"
    Development of coastal areas for tourism and military purposes are major threats to this species. It is possibly threatened by loss of ground cover habitat, such as the collection of driftwood by local people for firewood.

    
  ",['\n    Further surveys are needed to better determine the range of this species. It is known to exist in the following protected areas: Embouchure Moulouya; Sebkha Bou Areg; and Sebkha Bou Areg.\n\n    \n  '],Decreasing,Endangered,3,Chalcides mauritanicus,twofingered skink ,Animalia,Chordata,Reptilia,Squamata,Scincidae,Chalcides ,Length: 6 - 8 cm (2),The two-fingered skink occupies a restricted and fragmented range and is under threat from a decline in the extent and quality of its habitat (1). The coastal areas it occupies are being affected by development for tourism and military uses while the collection of driftwood by local people is removing essential ground cover for this species. The two-fingered skink is not known to survive in highly degraded habitats (1).,The two-fingered skink occurs in a few protected areas including Embouchure de la Moulouya and Sebkha Bou Areg (1). There are not known to be any specific conservation measures currently in place for this rare lizard but further surveys have been recommended to better establish the extent of its distribution (1). , ,protected; ,Critically Endangered,['Montenegro'],1,0,1.0
