Scientific Name, Nickname, Common Name, Kingdom, Phylum, Class, Order, Family, Genus, Size, Threats, Conservation
Alcatraz de Abbott; Piquero de Abbott,Papasula abbotti,Abbott's booby (Papasula abbotti),Animalia,Chordata,Aves,Pelecaniformes,Sulidae,Papasula (1),Length: 79 cm (2),Phosphate mining on Christmas Island in the 1960s and 70s caused the destruction of a third of Abbott's booby nesting habitat and has led to the subsequent deterioration of the remaining forest (4). Birds are strongly attached to nest sites and clearings are more exposed to wind turbulence which has a detrimental effect on breeding success and causes higher adult mortality (6). Recent development proposals for the island have again raised concern over the viability of remaining breeding habitat (5)., ,The majority of Abbott's booby nest sites occur within the Christmas Island National Park which was established in 1980 and covers 63 percent of the island (6). Nest site locations are monitored and the regeneration of previously cleared forest has occurred on much of the island (5). Although mining was resumed in 1990 it only involved the reworking of previously mined areas (6). The continued preservation and ban on clearing of the unique Christmas Island rainforest will be the key to the future viability of the Abbott's booby population (5). , ,,0,0
Abbotâs duiker,Cephalophus spadix,Abbottâs duiker (Cephalophus spadix),Animalia,Chordata,Mammalia,Cetartiodactyla,Bovidae,Cephalophus (1),50 â 60 kg (2),Like many other duikers Abbott\xe2\x80\x99s duiker is being impacted by a combination of hunting and habitat destruction (1) (2) (5).\xa0Hunted for its meat Abbott\xe2\x80\x99s duiker falls prey to snares laid in the forests it inhabits even within so-called protected areas (1) (7) while suitable habitat is gradually encroached upon by agriculture and logging (1) (2) (5).\xa0These human activities have resulted in the extinction of Abbott\xe2\x80\x99s duiker in areas where it once occurred and in 2008 the total population of Abbott\xe2\x80\x99s duiker was estimated at fewer than 1500 individuals (1)., ,Although Abbott\xe2\x80\x99s duiker occurs within several protected areas such as the Kilimanjaro National Park Udzungwa Mountains National Park and New Dabaga/Ulangambi Forest Reserve this does not completely protect this duiker from the threats of habitat loss and illegal hunting (1) (2) (5).\xa0In the Southern Highlands of Tanzania there are current efforts to employ hunters in environmental education initiatives in exchange for the cessation of hunting.\xa0The Abbott\xe2\x80\x99s duiker is also being used as a flagship species in village education programmes.\xa0This will hopefully be beneficial for many forest-dwelling animals including the Abbott\xe2\x80\x99s duiker (1).\xa0The expansion of certain protected areas to incorporate other important forests inhabited by Abbott\xe2\x80\x99s duiker (1) in addition to the enforcement of hunting bans within those areas (7) may be essential if this Endangered duiker is to survive. ,hunting; ,protected;,1,1
Cisticole des Aberdares,Cisticola aberdare,Aberdare cisticola (Cisticola aberdare),Animalia,Chordata,Aves,Passeriformes,Cisticolidae,Cisticola (1),Cisticola (1),[], ,[] , ,,0,0
Animalia,Abronia graminea,Abronia (Abronia graminea),Animalia,Chordata,Reptilia,Squamata,Anguidae,Abronia (1),,[], ,[] , ,,0,0
Plantae,Acacia daemon,Acacia (Acacia daemon),Plantae,Tracheophyta,Magnoliopsida,Fabales,Leguminosae,Acacia (1),,[], ,[] , ,,0,0
Plantae,Acalypha schimpffii,Acalypha (Acalypha schimpffii),Plantae,Tracheophyta,Magnoliopsida,Euphorbiales,Euphorbiaceae,Acalypha (1),,[], ,[] , ,,0,0
Animalia,Cardioglossa schioetzi,Acha Tugi long-fingered frog (Cardioglossa schioetzi),Animalia,Chordata,Amphibia,Anura,Arthroleptidae,Cardioglossa (1),,[], ,[] , ,,0,0
Plantae,Achyrospermum seychellarum,Achyrospermum (Achyrospermum seychellarum),Plantae,Tracheophyta,Magnoliopsida,Lamiales,Labitae,Achyrospermum (1),,[], ,[] , ,,0,0
Plantae,Acridocarpus monodii,Acridocarpus (Acridocarpus monodii),Plantae,Tracheophyta,Magnoliopsida,Polygalales,Malpighiaceae,Acridocarpus (1),,[], ,[] , ,,0,0
Adelaide pigmy blue-tongue skink; pygmy bluetongue,Tiliqua adelaidensis,Adelaide pygmy bluetongue skink (Tiliqua adelaidensis),Animalia,Chordata,Reptilia,Squamata,Scincidae,Tiliqua (1),Male snout-vent length: 3.8 - 10.6 cm (2)Female snout-vent length: 8.8 - 10.7 cm (2)Tail length: 2.2 - 7.9 cm (2),The Adelaide pygmy bluetongue skink was once feared to be the first of Australia\xe2\x80\x99s approximately 700 reptiles to become extinct since European colonization. Thankfully it was rediscovered in 1992 after 33 years of being presumed extinct (3). Currently only ten small populations of the Adelaide pygmy bluetongue skinkare known to exist (6). Arguably Australia\xe2\x80\x99s most enigmatic reptile its scarcity can be attributed to its unique ecology as well as population declines due to extensive habitat destruction (2)(3)., ,The South Australia Department of Environment and Conservation has produced a National Recovery Plan for the Adelaide pygmy bluetongue skink with the overall objective to achieve down-listing of the species from Endangered to Vulnerable within 10 years. The plan details actions such as ensuring remaining habitat is protected from any further degradation and undertaking field studies to establish the skink\xe2\x80\x99s habitat requirements (6). At present all populations of the Adelaide pygmy bluetongue skink occur on private land making the establishment of agreements with landowners an essential part of any plan and incentives may be offered to landowners to become involved in establishing sanctuaries for the Adelaide pygmy bluetongue skink on their land (6). , ,protected;,0,1
Animalia,Adelophryne maranguapensis,Adelophryne (Adelophryne maranguapensis),Animalia,Chordata,Amphibia,Anura,Eleutherodactylidae,Adelophryne (1),,[], ,[] , ,,0,0
