_id,ltable_id,rtable_id,ltable_Unnamed,ltable_name,ltable_genus,ltable_family,ltable_ecology,ltable_countries,ltable_threat_paragraph,ltable_conservation_paragraph,ltable_pop_trend,ltable_status,ltable_country_count,ltable_scientific_name,ltable_block,rtable_Unnamed,rtable_scientific_name,rtable_name,rtable_kingdom,rtable_phylum,rtable_class,rtable_order,rtable_family,rtable_genus,rtable_size,rtable_threats,rtable_conservation,rtable_threat_keywords,rtable_conservation_keywords,rtable_tCount,rtable_cCount,rtable_block,label
4865605,5795,614,5795,,Melanopsis,Melanopsidae,Freshwater,Syrian Arab Republic; ,"
    The part of the Syrian coast where this species occurs has been heavily urbanized and industrialized since the second half of the 20th century. North of Baniyas town lies Baniyas port with one of the largest oil refineries in Syria and a hydro-electric power plant. The remaining 'open space' between Baniyas and Jableh, i.e; some 10 km, is mainly used for agro-industrial purposes (greenhouse farming, citrus and olive plantations). The surface waters are polluted by untreated urban and industrial sewage, by agricultural run-off (high amounts of fertilizers and pesticides) and by heavy organic loads of hundreds of olive oil mills scattered along the coast (ICMZ-NPR 2009). Soils in the coastal area are still heavily contaminated with banned but persistent pesticides such as DDT (officially banned since 1984), Endosulfane (officially banned since 1985) and Lindane (officially banned since 2000) (Jamal 2011).

    
  ","['\n    There are no conservation actions in place for this species. Already about a decade ago, the odanotologist Schneider (2004) listed the Nahr Sana as one of the most interesting but also one of the most threatened Levantine aquatic habitats, urgently in need of protection and monitoring. Nothing has happened since.\n\n    \n  ']",Unknown,"
    Critically Endangered

      (Possibly Extinct)

    B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)

    ",1,Melanopsis germaini,yes,614,Melanopsis etrusca,melanopsis ,Animalia,Mollusca,Gastropoda,Sorbeoconcha,Melanopsidae,Melanopsis ,,Removal of water from the sites in which <em>Melanopsis etrusca</em> lives is a major threat to this species (1) as it is unable to withstand desiccation (2). A large subpopulation located on a farm at Poggetti Vecchi is at high risk of extinction as a result of temporary drainage of the pool in which this <strong>mollusc</strong> species is found (1).,<em>Melanopsis etrusca </em>is a protected species in Tuscany and is listed under Annexes A and B of the Tuscany Regional Law 56/2000. This means that the species itself is protected and that its protection may require the designation of a Regional Important Site at the locations where it remains (1). ,invasive;pet; ,protected; ,2,1.0,yes,0
2111635,6245,266,6245,,Shorea,Dipterocarpaceae,Terrestrial,Malaysia (Sarawak); ,"
    Habitat destruction.

    
  ",,,"
    Critically Endangered

      (Possibly Extinct)

    A1acd

    ",1,Shorea dispar,yes,266,Shorea platyclados,dark red meranti ,Plantae,Tracheophyta,Magnoliopsida,Theales,Dipterocarpaceae,Shorea ,Trunk diameter: up to 172 cm (2),Dipterocarp forests have become amongst the most endangered in the world widely logged for use in furniture-making general construction and boat-building (7). Furthermore the slow growth of these trees and late flowering mean that many trees are cut down before having a chance to reproduce (4).,Some subpopulations of this species are found in primary forest reserves where they receive varying levels of protection (1). Furthermore because of their high economic value there have been efforts to replant dipterocarp forests which may include species such as this dark red meranti (4). , , ,0,0.0,yes,0
8349249,6839,1054,6839,,Mammillaria,Cactaceae,Terrestrial,Mexico (Hidalgo); ,"
    The known threat for this species is illegal collecting, which was thought to drive the species to extinction in the past. The species grows in a mine.

    
  ","['\n    The species is listed on CITES Appendix II. It is widely propagated, of dubious parenting.The species does not occur in any protected areas. Urgent research is needed in order to understand the population dynamics of this cactus.\n\n    \n  ']",Unknown,"
    Critically Endangered


    D

    ",1,Mammillaria glochidiata,yes,1054,Mammillaria sanchez-mejoradae,biznaguita ,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Mammillaria ,Stem diameter: 25 cm (2),This highly attractive and unusual cactus is extremely popular with collectors and the location of the single population is well known (1). It is estimated that the number of Biznaguitas in the wild has declined by as much as 75% since its discovery in the mid-1980s principally as a result of over-collection (1). ,In recognition of the worrying population decline the Biznaguita was upgraded to Critically Endangered on the World Conservation Union's (IUCN) 2002 Red List of Threatened Species (1). This cactus is listed on Appendix II of the Convention on International Trade in Endangered Species (CITES) (3) thus restricting trade in wild plants; however a greater enforcement of these restrictions is required if this attractive cactus is to remain in the wild (1). , ,cites; ,0,1.0,yes,0
1563827,4572,197,4572,twofingered skink,Chalcides,Scincidae,Terrestrial,Spain; Algeria; Morocco; ,"
    Development of coastal areas for tourism and military purposes are major threats to this species. It is possibly threatened by loss of ground cover habitat, such as the collection of driftwood by local people for firewood.

    
  ",['\n    Further surveys are needed to better determine the range of this species. It is known to exist in the following protected areas: Embouchure Moulouya; Sebkha Bou Areg; and Sebkha Bou Areg.\n\n    \n  '],Decreasing,"
    Endangered


    B1ab(iii)

    ",3,Chalcides mauritanicus,yes,197,Chalcides simonyi,chalcides ,Animalia,Chordata,Reptilia,Squamata,Scincidae,Chalcides ,Chalcides (1),Perhaps the most threatened skink species in the Canaries (5) <em>Chalcides simonyi</em> has a severely fragmented distribution due to the continuing loss of its habitat. Climate change is the most significant threat to this species as the increasing frequency of drought leading to more arid conditions is causing soil erosion and the degradation of its habitat. <strong>Feral</strong> and domestic cats also pose an additional threat to <em>Chalcides simonyi</em> while the largest population of this species was most likely destroyed by a volcanic eruption in the 18th century (1).,Although <em>Chalcides simonyi</em> has not been the target of any known conservation measures it is present in a number of protected areas (1) including Parque Natural Archip√©lago Chinijo (5).† ,loss; ,protected; ,1,1.0,yes,0
12496270,6400,1578,6400,yellow meranti,Shorea,Dipterocarpaceae,Terrestrial,Singapore; ,,,,"
    Critically Endangered


    A1cd

    ",1,Shorea gibbosa,yes,1578,Shorea contorta,white lauan ,Plantae,Tracheophyta,Magnoliopsida,Theales,Dipterocarpaceae,Shorea ,Height: up to 50 m (2)Trunk diameter: up to 182 cm (2),Numbers of white lauan have become depleted due to logging and <strong>slash-and-burn</strong> agriculture (2) (4).  The valuable timber of the white lauan is used for general construction and for furniture making (2).,The white lauan most likely occurs in a number of protected areas throughout the Philippines such as the Sierra Madre.  However despite this so-called protection illegal logging activities can continue to pose a threat (5). , ,protected; ,0,1.0,yes,0
8982479,6869,1134,6869,venda cycad,Encephalartos,Zamiaceae,Terrestrial,South Africa (Limpopo Province); ,"
    This species is threatened due to over-collecting for ornamental purposes.

    
  ",['\n    This species is listed on Appendix I of the CITES Appendices. Plants occur (or occurred) in the Makuya National Park which forms part of the Kruger National Park.\n\n    \n  '],Decreasing,"
    Critically Endangered

      (Possibly Extinct)

    A4acd; B2ab(iii,iv,v); C1

    ",1,Encephalartos hirsutus,yes,1134,Encephalartos hirsutus,cycad ,Plantae,Tracheophyta,Cycadopsida,Cycadales,Zamiaceae,Encephalartos ,Trunk length: up to 4.2 m (2)Trunk diameter: 35 - 40 cm (2),Over the past few decades many South African cycads have become increasingly scarce in the wild with many species now facing the very real threat of extinction. Various factors account for their decline but the main threats include illegal harvesting for horticulture food and medicine habitat loss and the spread of alien vegetation (9). Although the threats to <em>E. hirsutus</em> are not well understood with a population of less than 300 individuals restricted to an extremely small range this species is in significant danger of becoming extinct in the near future†(1) (9).,There are not known to be any specific conservation measures in place for this Critically Endangered species but like all South African cycads <em>E. hirsutus</em> is partially protected by its listing on Appendix I of CITES which permits trade only under exceptional circumstances (3). ,loss; ,cites;protected; ,1,2.0,yes,1
10992717,6697,1388,6697,,Ravenea,Palmae,Freshwater,Madagascar; ,"
    There are a number of threats to this species including habitat clearance along the river banks for agricultural expansion and the plants and their seed are harvested for the horticultural trade. Palms are also sometime felled to make canoes.

    
  ",['\n    The site is not in a protected area. Urgent conservation action is required for this species.\n\n    \n  '],Decreasing,"
    Critically Endangered


    B1ab(ii,iii,v)+2b(ii,iii,v)

    ",1,Ravenea musicalis,yes,1388,Ravenea musicalis,palm ,Plantae,Tracheophyta,Liliopsida,Arecales,Palmae,Ravenea ,Trunk height: 2.5 - 8 m (2),This palm is only known from a single river and is therefore extremely vulnerable to chance events such as storms and to habitat disturbance (2). Local people use the timber from <em>Ravenea musicalis</em> to fashion small canoe-like boats known as 'pirogues' (5). The area near where <em>Ravenea musicalis</em> occurs has been earmarked for large-scale titanium oxide mining; if mining goes ahead the impact on the ecology of all surrounding areas could be very severe and could affect the survival of this species (4).,Should this unique species be tragically lost from the wild there are hopes that it will persist in cultivation; <em>Ravenea musicalis</em> seeds have been collected and distributed to botanic gardens in Madagascar and around the world (4). However <em>Ravenea musicalis</em> has proved to be very difficult to maintain in cultivation (3). , , ,0,0.0,yes,1
4377693,698,553,698,terredehaut racer,Alsophis,Dipsadidae,Terrestrial,Guadeloupe; ,"
    This species is threatened by habitat loss due to urban development, particularly for the tourist industry. Its extremely small range and lack of migrational options means that the species is also susceptible to future climate change, specifically sea level rise, however the effects of climate change on species persistence are still very uncertain.

    
  ","['\n    This species currently has no conservation measures in place for it. Further research into the threats, trends, habitat status and abundance is suggested. The establishment and management of new protected areas could provide a safeguard for this species from habitat loss.\n\n    \n  ']",Unknown,"
    Endangered


    B1ab(iii)

    ",1,Alsophis sanctonum,yes,553,Alsophis rijgersmaei,leeward island racer ,Animalia,Chordata,Reptilia,Squamata,Colubridae,Alsophis ,Length: 110 cm (2),The Leeward Island racer population is declining and has become extinct in some areas. This is due to a combination of predation by introduced rats cats and mongooses the burning of vegetation for agriculture and persecution by man (2).,One of the rarest snakes of the Lesser Antilles the Leeward Island racer will only survive if introduced predators are exterminated from its range (2). , , ,0,0.0,yes,0
11158354,6119,1409,6119,white meranti,Shorea,Dipterocarpaceae,Terrestrial,"Indonesia (Sumatera); Malaysia (Peninsular Malaysia, Sarawak); ",,['\n    The species also is found in forest reserves.\n\n    \n  '],,"
    Critically Endangered


    A1cd+2cd, C2a

    ",2,Shorea dealbata,yes,1409,Shorea almon,philippine mahogany ,Plantae,Tracheophyta,Magnoliopsida,Theales,Dipterocarpaceae,Shorea ,Height: 70 m (2)Trunk diameter: 1.6 m (2),The Philippine mahogany has become depleted due to logging and <strong>slash-and-burn</strong> farming (2).  The moderately hard and comparatively light timber is in great demand for plywood (2) (3) and is also used for furniture boat decking and for many other purposes (2).,Despite being Critically Endangered it is not clear whether any conservation measures exist for this species. , , ,0,0.0,yes,0
182706,661,23,661,decarys leaf chameleon,Brookesia,Chamaeleonidae,Terrestrial,Madagascar; ,"
    The major threats to the species include bush fires, cattle grazing, and deforestation for charcoal collection (Ramanamanjato and Rabibisoa 2002). Fire is widespread within the park boundary (R. Jenkins pers. comm. June 2011).

    
  ","['\n', <p>This species is protected under Malagasy law but collection from the wild is permitted with authorization.¬†Collection from within Parc National d'Ankarafantsika is prohibited. The species' distribution within Ankarafantsika is uncertain, and more information is needed to establish this species' extent of occurrence, area of occupancy and population status. The reserve itself should be managed to limit the encroachment of human activities that may threaten this chameleon.<br/></p>, '\n']",Decreasing,"
    Endangered


    B1ab(iii)

    ",1,Brookesia decaryi,yes,23,Brookesia perarmata,antsingy leaf chameleon ,Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Brookesia ,Length: up to 11cm (2),Chameleons are favoured as pets across the world due to their fascinating appearance and behaviour. Collection and trade has therefore taken its toll on many chameleon species but international trade in this species is now prohibited (9). However habitat degradation remains a threat even though the species is found within a national park. As this species depends on the presence of leaf litter for food shelter and laying its eggs and also on low shrubs and seedlings for roosting at night its survival is dependent on maintaining the existing vegetation structure within the Tsingy forests (5) (10).,The Antsingy leaf chameleon is listed on Appendix I of the Convention on International Trade of Endangered Species (CITES) and as such international trade of this species is illegal (3). Its survival is not immediately threatened in the wild although it is still justifiably a conservation priority because of its limited range and the continued degradation of its favoured habitats within the national park (1) (2) (10). ,pet; ,cites; ,1,1.0,yes,0
