_id,ltable_id,rtable_id,ltable_name,ltable_genus,ltable_family,ltable_ecology,ltable_countries,ltable_threat_paragraph,ltable_conservation_paragraph,ltable_pop_trend,ltable_status,ltable_country_count,ltable_block,rtable_Unnamed: 0,rtable_scientific_name,rtable_name,rtable_kingdom,rtable_phylum,rtable_class,rtable_order,rtable_family,rtable_genus,rtable_size,rtable_threats,rtable_conservation,rtable_threat_keywords,rtable_conservation_keywords,rtable_tCount,rtable_cCount,rtable_block
6182,1470,3,"adelaide pigmy blue-tongue skink, pygmy bluetongue",Tiliqua,Scincidae,,Australia; ,,,,"
    Endangered


    B1+2c

    ",1,yes,3,Tiliqua adelaidensis,adelaide pygmy bluetongue skink ,Animalia,Chordata,Reptilia,Squamata,Scincidae,Tiliqua ,Male snout-vent length: 3.8 - 10.6 cm (2)Female snout-vent length: 8.8 - 10.7 cm (2)Tail length: 2.2 - 7.9 cm (2),The Adelaide pygmy bluetongue skink was once feared to be the first of Australiaâ??s approximately 700 reptiles to become extinct since European colonization. Thankfully it was rediscovered in 1992 after 33 years of being presumed extinct (3). Currently only ten small populations of the Adelaide pygmy bluetongue skinkare known to exist (6). Arguably Australiaâ??s most enigmatic reptile its scarcity can be attributed to its unique ecology as well as population declines due to extensive habitat destruction (2)(3).,The South Australia Department of Environment and Conservation has produced a National Recovery Plan for the Adelaide pygmy bluetongue skink with the overall objective to achieve down-listing of the species from Endangered to Vulnerable within 10 years. The plan details actions such as ensuring remaining habitat is protected from any further degradation and undertaking field studies to establish the skinkâ??s habitat requirements (6). At present all populations of the Adelaide pygmy bluetongue skink occur on private land making the establishment of agreements with landowners an essential part of any plan and incentives may be offered to landowners to become involved in establishing sanctuaries for the Adelaide pygmy bluetongue skink on their land (6). , ,protected; ,0,1.0,yes
17936,4363,9,albanian water frog,Pelophylax,Ranidae,Terrestrial; Freshwater,Albania; Montenegro; ,"
    The major threat is drainage of wetland habitats and aquatic pollution of many waterways caused by agrochemical and industrial (including mining) contaminants. In the northern parts of its range (e.g. Lake Skadar) it is significantly threatened by over collection for commercial purposes. An additional threat is the accidental introduction of commercially transported non-native water frogs.

    
  ","[""\n    It is listed on Appendix III of the Bern Convention. 'Green frogs', including "", <em>R. shqiperica</em>, ', are not protected by law in Yugoslavia (Kalezic and Dzukic 2001; Ljubisavljevic, Dzukic and Kalezic 2003). The species is present in the Lake Skadar protected area, on the border of Montenegro and Albania.\n\n    \n  ']",Decreasing,"
    Endangered


    B1ab(iii)

    ",2,yes,9,Pelophylax shqipericus,albanian water frog ,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax ,Male length: c. 71 mm (2)Female length: c. 74 mm (2),The main threats to the Albanian water frog are the drainage of wetlands and agrochemical and industrial pollution of aquatic habitats. Over-collection of this species for commercial purposes is a significant threat in the northern parts of its range such as along the shores of Lake Skadar (1) (3) (4).,The Albanian water frog is listed on Appendix III of the Bern Convention which means that it should be afforded protection (12). ,pet;pollution; ,protected; ,2,1.0,yes
18756,7543,9,karpathos frog,Pelophylax,Ranidae,Terrestrial; Freshwater,Greece; ,"
    The major threat is habitat loss and degradation of suitable aquatic habitats. Although the site from which the species is known is fairly remote, freshwater habitats are subject to a number of threats such as excessive water abstraction and climate change. Fires are an additional potential threat, and the species may be vulnerable to climate change.

    
  ","['\n    It is listed on Appendix III of the Bern Convention. It probably occurs in a protected area on Karpathos, but there is a need for further research into the range and low population of this species. Monitoring and effective protection and appropriate management of the single site at which it is known to occur is needed.\n\n    \n  ']",Decreasing,"
    Critically Endangered


    B1ab(iii)+2ab(iii)

    ",1,yes,9,Pelophylax shqipericus,albanian water frog ,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax ,Male length: c. 71 mm (2)Female length: c. 74 mm (2),The main threats to the Albanian water frog are the drainage of wetlands and agrochemical and industrial pollution of aquatic habitats. Over-collection of this species for commercial purposes is a significant threat in the northern parts of its range such as along the shores of Lake Skadar (1) (3) (4).,The Albanian water frog is listed on Appendix III of the Bern Convention which means that it should be afforded protection (12). ,pet;pollution; ,protected; ,2,1.0,yes
19827,4363,10,albanian water frog,Pelophylax,Ranidae,Terrestrial; Freshwater,Albania; Montenegro; ,"
    The major threat is drainage of wetland habitats and aquatic pollution of many waterways caused by agrochemical and industrial (including mining) contaminants. In the northern parts of its range (e.g. Lake Skadar) it is significantly threatened by over collection for commercial purposes. An additional threat is the accidental introduction of commercially transported non-native water frogs.

    
  ","[""\n    It is listed on Appendix III of the Bern Convention. 'Green frogs', including "", <em>R. shqiperica</em>, ', are not protected by law in Yugoslavia (Kalezic and Dzukic 2001; Ljubisavljevic, Dzukic and Kalezic 2003). The species is present in the Lake Skadar protected area, on the border of Montenegro and Albania.\n\n    \n  ']",Decreasing,"
    Endangered


    B1ab(iii)

    ",2,yes,10,Pelophylax shqipericus,albanian water frog ,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax ,Male length: c. 71 mm (2)Female length: c. 74 mm (2),The main threats to the Albanian water frog are the drainage of wetlands and agrochemical and industrial pollution of aquatic habitats. Over-collection of this species for commercial purposes is a significant threat in the northern parts of its range such as along the shores of Lake Skadar (1) (3) (4).,The Albanian water frog is listed on Appendix III of the Bern Convention which means that it should be afforded protection (12). ,pet;pollution; ,protected; ,2,1.0,yes
20647,7543,10,karpathos frog,Pelophylax,Ranidae,Terrestrial; Freshwater,Greece; ,"
    The major threat is habitat loss and degradation of suitable aquatic habitats. Although the site from which the species is known is fairly remote, freshwater habitats are subject to a number of threats such as excessive water abstraction and climate change. Fires are an additional potential threat, and the species may be vulnerable to climate change.

    
  ","['\n    It is listed on Appendix III of the Bern Convention. It probably occurs in a protected area on Karpathos, but there is a need for further research into the range and low population of this species. Monitoring and effective protection and appropriate management of the single site at which it is known to occur is needed.\n\n    \n  ']",Decreasing,"
    Critically Endangered


    B1ab(iii)+2ab(iii)

    ",1,yes,10,Pelophylax shqipericus,albanian water frog ,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax ,Male length: c. 71 mm (2)Female length: c. 74 mm (2),The main threats to the Albanian water frog are the drainage of wetlands and agrochemical and industrial pollution of aquatic habitats. Over-collection of this species for commercial purposes is a significant threat in the northern parts of its range such as along the shores of Lake Skadar (1) (3) (4).,The Albanian water frog is listed on Appendix III of the Bern Convention which means that it should be afforded protection (12). ,pet;pollution; ,protected; ,2,1.0,yes
25249,2849,13,"alexandria cycad, dune cycad",Encephalartos,Zamiaceae,Terrestrial,South Africa (Eastern Cape Province); ,"
    The major threat to this species is removal by collectors. This has been the main cause of decline over the past 50 years. Some have also been destroyed by habitat destruction (bush clearing to make way for pastures).

    
  ",['\n    This species is listed on Appendix I of the CITES Appendices. Populations occur within the boundaries of the Addo National Park (formerly the Woody Cape Nature Reserve).\n\n    \n  '],Decreasing,"
    Endangered


    A2acd; B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C1

    ",1,yes,13,Encephalartos arenarius,alexandria cycad ,Plantae,Tracheophyta,Cycadopsida,Cycadales,Zamiaceae,Encephalartos ,Stem height: 1 - 2 m (2),Although it was once plentiful across its range the Alexandria cycad is now relatively rare in the wild with a population size of just 850 to 1500 mature individuals (1) (2) (7) (8). Although clearance of habitat for farming was the main cause of its decline in the early 20th century in more recent times large numbers of this species have been removed by collectors (7) (8).,There are not known to be any specific conservation measures in place for the Alexandria cycad but it is listed on Appendix I of CITES which permits trade only under exceptional circumstances (3). , ,cites; ,0,1.0,yes
25250,2850,13,chimanimani cycad,Encephalartos,Zamiaceae,Terrestrial,Mozambique; ,"
    This species is threatened due to over-collecting for ornamental purposes.

    
  ",['\n    This species is listed on Appendix I of the CITES Appendices.\n\n    \n  '],Decreasing,"
    Endangered


    B1ab(i,ii,iv,v)+2ab(i,ii,iv,v); C1

    ",1,yes,13,Encephalartos arenarius,alexandria cycad ,Plantae,Tracheophyta,Cycadopsida,Cycadales,Zamiaceae,Encephalartos ,Stem height: 1 - 2 m (2),Although it was once plentiful across its range the Alexandria cycad is now relatively rare in the wild with a population size of just 850 to 1500 mature individuals (1) (2) (7) (8). Although clearance of habitat for farming was the main cause of its decline in the early 20th century in more recent times large numbers of this species have been removed by collectors (7) (8).,There are not known to be any specific conservation measures in place for the Alexandria cycad but it is listed on Appendix I of CITES which permits trade only under exceptional circumstances (3). , ,cites; ,0,1.0,yes
25251,2852,13,umbeluzi cycad,Encephalartos,Zamiaceae,Terrestrial,Mozambique; Swaziland; ,"
    Illegal removal of plants from the wild has been recorded, even within reserves.

    
  ",['\n    This species is listed on Appendix I of the CITES Appendices. Populations are protected in the Mlawula Nature Reserve in Swaziland.\n\n    \n  '],Decreasing,"
    Endangered


    B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v); C1

    ",2,yes,13,Encephalartos arenarius,alexandria cycad ,Plantae,Tracheophyta,Cycadopsida,Cycadales,Zamiaceae,Encephalartos ,Stem height: 1 - 2 m (2),Although it was once plentiful across its range the Alexandria cycad is now relatively rare in the wild with a population size of just 850 to 1500 mature individuals (1) (2) (7) (8). Although clearance of habitat for farming was the main cause of its decline in the early 20th century in more recent times large numbers of this species have been removed by collectors (7) (8).,There are not known to be any specific conservation measures in place for the Alexandria cycad but it is listed on Appendix I of CITES which permits trade only under exceptional circumstances (3). , ,cites; ,0,1.0,yes
26165,6862,13,ngotshe cycad,Encephalartos,Zamiaceae,Terrestrial,South Africa (KwaZulu-Natal); ,"
    This species' occurrence at a single site means the plants are vulnerable to environmental perturbations. Collecting has been a problem in the past although the bulk of the plants now occur within a private nature reserve. Collecting, however, still remains an issue.

    
  ",['\n    This species is listed on Appendix I of the CITES Appendices. A large part of the population occurs within a private nature reserve. However the reserve is not secure against poachers and the owner believes that plants are still disappearing.\n\n    \n  '],Decreasing,"
    Critically Endangered


    B1ab(v)+2ab(v); C2a(ii)

    ",1,yes,13,Encephalartos arenarius,alexandria cycad ,Plantae,Tracheophyta,Cycadopsida,Cycadales,Zamiaceae,Encephalartos ,Stem height: 1 - 2 m (2),Although it was once plentiful across its range the Alexandria cycad is now relatively rare in the wild with a population size of just 850 to 1500 mature individuals (1) (2) (7) (8). Although clearance of habitat for farming was the main cause of its decline in the early 20th century in more recent times large numbers of this species have been removed by collectors (7) (8).,There are not known to be any specific conservation measures in place for the Alexandria cycad but it is listed on Appendix I of CITES which permits trade only under exceptional circumstances (3). , ,cites; ,0,1.0,yes
26166,6863,13,waxen cycad,Encephalartos,Zamiaceae,Terrestrial,South Africa (KwaZulu-Natal); ,"
    This species has been severely affected due to over-collection of plants from the wild for ornamental purposes. As a result, reproductive failure has become the most serious threat that this species is facing.

    
  ",['\n    This species is listed on Appendix I of the CITES Appendices.\n\n    \n  '],Decreasing,"
    Critically Endangered

      (Possibly Extinct)

    A2abcd; B1ab(i,ii,iv,v)+2ab(i,ii,iv,v); C2a(ii)

    ",1,yes,13,Encephalartos arenarius,alexandria cycad ,Plantae,Tracheophyta,Cycadopsida,Cycadales,Zamiaceae,Encephalartos ,Stem height: 1 - 2 m (2),Although it was once plentiful across its range the Alexandria cycad is now relatively rare in the wild with a population size of just 850 to 1500 mature individuals (1) (2) (7) (8). Although clearance of habitat for farming was the main cause of its decline in the early 20th century in more recent times large numbers of this species have been removed by collectors (7) (8).,There are not known to be any specific conservation measures in place for the Alexandria cycad but it is listed on Appendix I of CITES which permits trade only under exceptional circumstances (3). , ,cites; ,0,1.0,yes
