_id,ltable_id,rtable_id,ltable_Unnamed,ltable_name,ltable_genus,ltable_family,ltable_ecology,ltable_countries,ltable_threat_paragraph,ltable_conservation_paragraph,ltable_pop_trend,ltable_status,ltable_country_count,ltable_scientific_name,ltable_block,rtable_scientific_name,rtable_name,rtable_kingdom,rtable_phylum,rtable_class,rtable_order,rtable_family,rtable_genus,rtable_size,rtable_threats,rtable_conservation,rtable_threat_keywords,rtable_conservation_keywords,rtable_status,rtable_countries,rtable_country_count,rtable_tCount,rtable_block,label
2111715,6325,266,6325,dark red meranti,Shorea,Dipterocarpaceae,Terrestrial,Brunei Darussalam; Malaysia (Sarawak); ,"
    It is particularly threatened by logging operations because it grows too slowly to reach reproductive maturity between cutting cycles.

    
  ",,,"
    Critically Endangered


    A1cd, C2a

    ",2,Shorea pachyphylla,yes,Shorea platyclados,dark red meranti ,Plantae,Tracheophyta,Magnoliopsida,Theales,Dipterocarpaceae,Shorea ,Trunk diameter: up to 172 cm (2),Dipterocarp forests have become amongst the most endangered in the world widely logged for use in furniture-making general construction and boat-building (7). Furthermore the slow growth of these trees and late flowering mean that many trees are cut down before having a chance to reproduce (4).,Some subpopulations of this species are found in primary forest reserves where they receive varying levels of protection (1). Furthermore because of their high economic value there have been efforts to replant dipterocarp forests which may include species such as this dark red meranti (4). , , ,Endangered,"['Tunisia', 'Algeria', 'Morocco']",3,0,yes,0
1167885,4380,147,4380,kerangas bubblenest frog,Philautus,Rhacophoridae,Terrestrial; Freshwater,Malaysia; ,"
    Loss of habitat due to the deforestation and fragmentation of peat swamps is the major threat to this species.

    
  ","['\n    It has been recorded from Gunung Mulu National Park, but there is a need for more effective protection of peat swamp forest habitats in Sarawak.\n\n    \n  ']",Decreasing,"
    Endangered


    B2ab(iii)

    ",1,Philautus kerangae,yes,Philautus neelanethrus,blueeyed bush frog ,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Philautus ,Male snout-vent length: 2.3 - 3 cm (2),The blue-eyed bush frog has lost a great amount of suitable habitat due to dam construction agriculture and urbanisation. Many of the remaining habitats are fragmented and ecological barriers prevent movement of individuals between the forest fragments (1) (2). The formation of fragmented habitats has left most populations of the blue-eyed bush frog at high risk of extinction due to <strong>inbreeding</strong> stress and has increased their vulnerability to invasive species. Any further reductions in habitat area could compromise the future survival of this species (2).,Some areas within the range of the blue-eyed bush frog are protected including the Sharavathi Valley Wildlife Sanctuary Mookambika Wildlife Sanctuary and Kudremukh National Park offering it a certain degree of protection. More research is required into the range habitat requirements and populations of the blue-eyed bush frog and investigations are needed into how threats can be addressed to conserve this colourful amphibian (1).† ,invasive; ,protected; ,Endangered,"['Cameroon', 'Gabon']",2,1,yes,0
2192219,7679,276,7679,ebners skink,Chalcides,Scincidae,Terrestrial,Morocco; ,"
    This species has a restricted range, and is highly threatened by habitat loss principally through intensification of agricultural practices.

    
  ",['\n    There is a need to survey more widely for this species. It is not known to occur in any protected areas.\n\n    \n  '],Decreasing,"
    Critically Endangered


    B1ab(iii)

    ",1,Chalcides ebneri,yes,Chalcides parallelus,doumergues skink ,Animalia,Chordata,Reptilia,Squamata,Scincidae,Chalcides ,Length: up to 9.1 cm (2),Relatively little is known about the threats to Doumergue's skink. It is believed to be uncommon within its narrow and severely fragmented range and is likely to be under threat from the development of coastal areas for tourism and military purposes. Its habitat may also be declining in quality for example through the removal of ground cover as driftwood is collected for fuel. The species is not known to exist in modified habitats (1).,Doumergue‚??s skink occurs in the Chafarine Hunting Reserve in the Chafarinas islands Spain as well as in the Sebkha Bou Areg and Embouchure Moulouya protected areas in Morocco (1). However no specific conservation measures are known to be in place for this small reptile and further research into its ecology life history and the threats it faces are likely to be needed if the species is to be given effective protection. , ,protected; ,Endangered,['China'],1,0,yes,0
5893603,4843,744,4843,"orangebellied racer, redbellied racer, saba racer",Alsophis,Dipsadidae,,"Saint Kitts and Nevis; Bonaire, Sint Eustatius and Saba (Saba, Sint Eustatius); ","
    Extirpated historically from Nevis and St Kitts due to the introduction of mongooses. Pet and probably feral cats also threaten the remaining populations. Loss of habitat and degradation continue on St Eustatius.

    
  ",,,"
    Endangered


    B1+2ce

    ",2,Alsophis rufiventris,yes,Alsophis rufiventris,redbellied racer ,Animalia,Chordata,Reptilia,Squamata,Colubridae,Alsophis ,Maximum snout-vent length: 92 cm (2),The red-bellied racer now occupies only 11 percent of its original range (5) largely due to the deliberate introduction of the mongoose (<em>Herpestes auropunctatus</em>) to control rat populations in the 19th century. The two islands where the racer persists are mongoose-free but additional threats include other introduced animals such as cats dogs and rats (9) as well as negative local attitudes towards the snake (4).,Fortunately there are some systems in place to conserve the red-bellied racer. For example on St Eustatius the Quill-Boven National Park is a protected area which provides suitable habitat for red-bellied racers with plenty of rocky terrain (4) (11). , ,protected; ,Critically Endangered,"['Italy', 'Mexico']",2,0,yes,1
1369617,322,173,322,,Mammillaria,Cactaceae,Terrestrial,Mexico (Sonora); ,"
    The species' range is impacted by urban development, including tourism facilities, and aquaculture (shrimp farming).

    
  ","['\n    The species does not occur in any protected areas. It is ""rare and endemic"" (R*) in accordance with the Norma Oficial Mexicana (Paredes ', <span style=""font-style: italic;"">et al. </span>, '2000).', <p>This species is legally protected in Mexico by the national list of species at risk of extinction, NOM-059-SEMARNAT-2010, where it is listed under category ‚??subject to special protection‚?? (Pr; SEMARNAT 2010).</p>, '\n']",Decreasing,"
    Endangered


    B1ab(iii)

    ",1,Mammillaria johnstonii,yes,Mammillaria pectinifera,cactus ,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae(1),Mammillaria ,Stem diameter: 3 cm (2)Flower length: 2.5 cm (2),Collectors have prized this distinctive and unusual cactus over the years and well-known sites have suffered from extensive exploitation (2). Only two populations of <em>Mammillaria pectinifera</em> are currently known to persist in the wild and their position is increasingly precarious due to the small isolated number of individuals and ongoing habitat disturbance. Quarrying and the dumping of rubbish are worrying threats in the area that contains the greatest number of individual plants (2).,International trade in plants and seeds of wild origin is banned by the listing of <i>Mammillaria pectinifera</i> on Appendix I of the Convention on International Trade in Endangered Species (CITES) (3). In addition the demand for this species is being increasingly met by seed-raised plants thus reducing the pressure on wild populations (2). Further field studies are needed in the area in the hope of uncovering additional wild populations; constant monitoring of known sites is also required in order to raise the alarm for a rescue mission should this become necessary (2). , ,cites; ,Endangered,"['Tunisia', 'Morocco', 'Algeria']",3,0,yes,0
7278065,4180,919,4180,,Eleutherodactylus,Eleutherodactylidae,Terrestrial,Cuba; ,"
    The major threat to the species is disturbance of its habitat by tourists.

    
  ","['\n    Its range includes Parque Nacional Vi√±ales, which is a well-managed protected area, and several nearby reserves.\n\n    \n  ']",Decreasing,"
    Endangered


    B1ab(iii)

    ",1,Eleutherodactylus klinikowskii,yes,Eleutherodactylus schwartzi,virgin islands coqui ,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Eleutherodactylus ,Female snout-vent length: up to 34 mm (2),Currently almost a quarter of all amphibian species on the British Virgin Islands are categorised as endangered indicating that the islands‚?? unique fauna is facing a wealth of threats. Habitat degradation and conversion to developments for tourism human settlements and road construction are particularly severe problems while predation from introduced mammals such as rats and mongoose also threatens many native species (6). As a result of these threats the range of the Virgin Islands coqui has become highly fragmented and there is an ongoing decline in the quality of its habitat. The small distinct population on Great Dog is particularly vulnerable. The Virgin Islands coqui also appears to be declining with the spread of the predatory Cuban tree frog (<em>Osteopilus septentrionalis</em>) (1).<em>† </em>,A number of conservation recommendations have been made to protect the native fauna of the British Virgin Islands including the creation of protected areas and minimising the impacts of development through the better enforcement of protective legislation. Increased monitoring efforts for amphibian populations may also be required given the potential for deadly diseases such as the fungus chytridiomycosis to break out on the island especially as disease has been associated with dramatic amphibian declines on nearby islands (6). Additional study and protection of the Virgin Islands coqui population on Great Dog is a conservation priority for the species while there is also a need to afford its habitat on Tortola and Virgin Gorda increased protection and control invasive predators (1) (6). , ,protected; ,Critically Endangered,"['Dominican Republic', 'Haiti']",2,0,yes,0
8970546,2851,1133,2851,,Encephalartos,Zamiaceae,Terrestrial,"Tanzania, United Republic of; ","
    This species is affected by too frequent fires, which may affect regeneration. Changes in habitat management may also threaten the security of this species. Removal by collectors is also an issue.

    
  ",['\n    This species is listed on Appendix I of the CITES Appendices. This species possibly occurs in the Ugalla River Game Reserve.\n\n    \n  '],Decreasing,"
    Endangered


    C2a(i)

    ",1,Encephalartos delucanus,yes,Encephalartos inopinus,cycad ,Plantae,Tracheophyta,Cycadopsida,Cycadales,Zamiaceae,Encephalartos ,Height: up to 3 m (2),Over the past few decades many South African cycads have become increasingly scarce in the wild with many species now facing the very real threat of extinction. Various factors account for their decline but the main threats include illegal harvesting for horticulture food and medicine habitat loss and the spread of alien vegetation (10). Owing to its distinctive appearance <i>E. inopinus</i> has suffered greatly from the activities of collectors with the remaining plants now scattered sparsely over its restricted range (2) (6).,There are not known to be any specific conservation measures in place for this Critically Endangered species but like all South African cycads <i>E. inopinus</i> is partially protected by its listing on Appendix I of CITES which permits trade only under exceptional circumstances (3). ,loss; ,cites;protected; ,Critically Endangered,['South Africa'],1,1,yes,0
1199440,4275,151,4275,"bernhards mantella, black mantella, tolongoina golden frog",Mantella,Mantellidae,Terrestrial; Freshwater,Madagascar; ,"
    The area where the species occurs is being degraded rapidly due to subsistence agriculture, timber extraction, charcoaling, livestock grazing, fires, and expanding human settlements. It is also possible that over collecting for commercial and private purposes is a threat.

    
  ","['\n    It is found in the Manombo Special Reserve and Parc National de Ranomafana. There is a need for trade in this species to be carefully regulated including the maintaining limited exportation quotas. Attention should be given to conservation of the two distinct population conservation units of this species (Andreone ', <span style=""font-style: italic;"">et al</span>, '. 2006). It is listed on CITES Appendix II.\n\n    \n  ']",Decreasing,"
    Endangered


    B2ab(iii,v)

    ",1,Mantella bernhardi,yes,Mantella expectata,bluelegged mantella ,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella ,1 ‚?? 3 g (3),Several thousand blue-legged mantellas are thought to be collected every year from some regions in the Isalo Massif(3). Aside from over-collection the extremely small range of these critically endangered frogs is threatened with habitat loss as a result of grazing fires and sapphire mining operations (1).,Listing on Appendix II of the Convention on International Trade in Endangered Species provides the blue-legged mantella with some protection. It requires that an export licence is obtained for any trade in this species. A trade quota to prevent over-exploitation of this frog is crucial to its survival as even the protection offered by the Isalo National Park has not prevented the capture of the blue-legged mantella (1). Anyhow recent research showed that the species is still locally abundant (5). ,loss; , ,Endangered,['Turkey'],1,1,yes,0
5788641,2776,731,2776,"germains langur, germains silver langur, indochinese lutung, indochinese silvered langur",Trachypithecus,Cercopithecidae,Terrestrial,Cambodia; Lao People's Democratic Republic; Myanmar; Thailand; Viet Nam; ,"
    The major threats to this species are hunting, mainly for subsistence use and traditional ‚??medicine‚??, the pet trade and habitat loss, mainly due to agricultural expansion.

    
  ","['\n    This species is listed on CITES Appendix II. It has been recorded from Phu Quoc National Park (Viet Nam), and probably still occurs in Cat Tien National Park (Viet Nam), and it occurs in several protected areas in Thailand. Further survey and taxonomic work is needed to elucidate and better understand the population status and limits of distribution of this species, and especially to resolve the status of the form ', <em>margarita</em>, ' relative to ', <em>germaini</em>, '.\n\n    \n  ']",Decreasing,"
    Endangered


    A2cd

    ",5,Trachypithecus germaini,yes,Trachypithecus vetulus,purplefaced langur ,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Trachypithecus ,Male head-body length: 50 ‚?? 65 cm (2)Female head-body length: 45 ‚?? 60 cm (2)Male tail length: 67 ‚?? 85 cm(2)Female tail length: 62 ‚?? 82 cm (2)Male weight: 3.4 ‚?? 9.4 kg (2)Female weight: 3.1 ‚?? 9 kg (2),The purple-faced langur‚??s range has contracted greatly in the face of human encroachment. Deforestation as a result of agricultural industrial and residential development has led to habitat loss and fragmentation and the consequent isolation of subpopulations which impedes out-breeding and genetic diversity. From 1956 to 1993 Sri Lanka lost more than 50 percent of its forests to human activities followed by a similar rate of decline between 1994 and 2003. This species has also suffered from hunting and illegal trade of its meat and skin with the skin used to make drums in some areas. The purple-faced langur is hunted mainly for subsistence living and trade at local village level. According to continuing trends populations of this species are predicted to decline by more than 50 percent within the next 11 to 22 years (1).,The commercial exploitation of purple-faced langurs is regulated by their listing on Appendix II of the Convention on International Trade in Endangered Species (CITES) (3). All four <strong>subspecies</strong> are also protected under the Flora and Fauna Protection Ordinance 1993 and exist in a number of protected areas (1). However the issue of habitat loss still places these <strong>subspecies</strong> classified as Endangered and Critically Endangered at serious risk of extinction (1). Indeed the Critically Endangered western purple-faced langur (<i>T. v. nestor</i>) was officially recognised in 2004 as one of the world‚??s 25 most endangered primates. This <strong>subspecies</strong> requires good canopy cover but possibly fewer than three forests currently exist within Sri Lanka that can support viable populations and none of these are within protected areas. Furthermore the human-modified areas that support much of the langur population such as gardens and rubber plantations are under private ownership and therefore unstable changing rapidly due to human population expansion and development. Censuses are therefore urgently needed to identify forest areas suitable for conservation. Further studies are also essential to better understand the decline of sub-populations in both space and time in the extremely disturbed habitats where these langurs survive today (6). ,loss;fragmentation;hunting; ,cites;protected; ,Critically Endangered,['British Virgin Islands'],1,3,yes,0
8905563,1188,1125,1188,"silverybrown bareface tamarin, silverybrown tamarin, whitefooted tamarin",Saguinus,Callitrichidae,Terrestrial,Colombia (Colombia (mainland)); ,"
    This species occurs in an area of intensive colonization and forest loss. Cuartas-Calle (2001) concluded that the future of this species is worrying, with the forest in its range being degraded and fragmented at an accelerating rate. Natural habitats are being affected by logging, the expansion of agriculture and cattle ranching, mining, and the construction of roads and a dam in the R√≠o Miel (Calle 1992; Defler 2004). They have been recorded sold as pets in the markets of Medell√≠n and Bogot√° (Defler 2004).

    
  ","['\n    Listed on CITES Appendix 1. Also on the US Endangered Species List.', <br/>, <br/>, <em>Saguinus leucopus</em>, ' occurs in one regional reserve (Ca√±on del Rio Alicante), which is poorly protected, and being exploited for people that live in the area (Morales-Jim√©nez 2006). It also occurs in the proposed park of the Sierra San Lucas. A campaign is underway for the creation of a protected area for the species, which will also benefit the Variegated Spider Monkey, ', <em>Ateles hybridus</em>, "", in the north-east of the department of Antioquia, Colombia, 07¬∞01'N and 74¬∞05'W, 100-200 m above the sea level, on the left margin of the R√≠o Magdalena (Morales-Jim√©nez 2007b; Morales-Jim√©nez and Rivadeneira 2006)."", <br/>, <br/>, 'A regional captive breeding programme supported by the European Callitrichid TAG (18 zoos) was begun in 2006 (Morales-Jim√©nez 2006, 2007a; Morales-Jim√©nez and Ruivo 2006). In Colombia, the species is maintained in at least seven zoos, but all of them have problems with reproduction and survival.', <br/>, <br/>, 'An action plan has been drawn up which includes the continuation and organization of ', <em>ex situ</em>, ' breeding, and research on husbandry, nutrition, and management in captivity, environmental education and education programmes for zoos, and ', <em>in situ</em>, ' field research, including population surveys and studies of habitat use (Morales-Jim√©nez 2007c).\n\n    \n  ']",Decreasing,"
    Endangered


    A2cd

    ",1,Saguinus leucopus,yes,Saguinus oedipus,cottonheaded tamarin ,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Saguinus ,300†- 450 g (2),Deforestation is this species‚?? greatest threat (6). It has already lost most of its habitat through forest clearing for timber charcoal human settlement agricultural land and industry (3). The forest areas in which it now exists are so fragmented it is believed that they are too small to maintain the tamarin populations (3). Sadly the continuous expansion of human settlement in northern Colombia has brought the cotton-headed tamarin more bad luck. With easier access to the tamarin‚??s habitat animal collectors trap these small monkeys and sell them in port cities either for export or local trade (10). Populations in the past have also suffered from the export of significant numbers for biomedical research in the 1960s and 1970s (5) (9).,The cotton-headed tamarin has been†protected in Colombia since 1969 and export of this species has been banned since 1974 (1).†However its numbers have continued to dwindle away as has its habitat and hope of survival. If this species is to survive it is essential that immediate conservation measures are implemented (3) (8). , ,protected; ,Critically Endangered,['Bulgaria'],1,0,yes,0
