_id,ltable_id,rtable_id,ltable_name,ltable_genus,ltable_family,rtable_name,rtable_genus,rtable_family
0,12,126,"danube salmon, huchen",Hucho,Salmonidae,huchen; danube salmon ,Hucho ,Salmonidae
1,20,285,"malagasy giant jumping rat, malagasy giant rat",Hypogeomys,Nesomyidae,malagasy giant jumping rat; malagasy giant rat ,Hypogeomys ,Nesomyidae
2,22,143,"elongated tortoise, pineapple tortoise, rednosed tortoise, yellowheaded tortoise, yellow tortoise",Indotestudo,Testudinidae,pineapple tortoise; rednosed tortoise; yellow tortoise; yellowheaded tortoise; elongated tortoise ,Indotestudo ,Testudinidae
3,22,159,"elongated tortoise, pineapple tortoise, rednosed tortoise, yellowheaded tortoise, yellow tortoise",Indotestudo,Testudinidae,celebes tortoise; forstens tortoise ,Indotestudo ,Testudinidae
4,23,143,"celebes tortoise, forstens tortoise, travancore tortoise",Indotestudo,Testudinidae,pineapple tortoise; rednosed tortoise; yellow tortoise; yellowheaded tortoise; elongated tortoise ,Indotestudo ,Testudinidae
5,23,159,"celebes tortoise, forstens tortoise, travancore tortoise",Indotestudo,Testudinidae,celebes tortoise; forstens tortoise ,Indotestudo ,Testudinidae
6,48,320,"nelsons antelope squirrel, san joaquin antelope ground squirrel, san joaquin antelope squirrel",Ammospermophilus,Sciuridae,san joaquin antelope ground squirrel; san joaquin antelope squirrel; nelsons antelope squirrel ,Ammospermophilus ,Sciuridae
7,53,702,milneedwardss sportive lemur,Lepilemur,Lepilemuridae,lemur comadreja septentrional; northern sportive lemur ,Lepilemur ,Lepilemuridae
8,54,702,"drybush weasel lemur, whitefooted sportive lemur",Lepilemur,Lepilemuridae,lemur comadreja septentrional; northern sportive lemur ,Lepilemur ,Lepilemuridae
9,55,702,"lightnecked sportive lemur, microdon sportive lemur, smalltoothed sportive lemur",Lepilemur,Lepilemuridae,lemur comadreja septentrional; northern sportive lemur ,Lepilemur ,Lepilemuridae
10,62,449,"tehuantepec hare, tehuantepec jackrabbit, tehuantepec jack rabbit, tropical hare",Lepus,Leporidae,tehuantepec hare; tehuantepec jack rabbit; tropical hare; tehuantepec jackrabbit ,Lepus ,Leporidae
11,71,458,greenthighed frog,Litoria,Hylidae,australian waterfall frog; waterfall frog; torrent tree frog ,Litoria ,Hylidae
12,71,459,greenthighed frog,Litoria,Hylidae,australian waterfall frog; waterfall frog; torrent tree frog ,Litoria ,Hylidae
13,71,460,greenthighed frog,Litoria,Hylidae,australian waterfall frog; waterfall frog; torrent tree frog ,Litoria ,Hylidae
14,81,125,"cyclades bluntnosed viper, milos viper",Macrovipera,Viperidae,milos viper; cyclades bluntnosed viper ,Macrovipera ,Viperidae
15,82,21,"asian giant tortoise, asian tortoise, black giant tortoise, burmese brown tortoise, burmese mountain tortoise, sixlegged tortoise",Manouria,Testudinidae,asian brown tortoise; asian giant tortoise; black giant tortoise; burmese brown tortoise; burmese mountain tortoise; sixlegged tortoise; asian tortoise ,Manouria ,Testudinidae
16,82,22,"asian giant tortoise, asian tortoise, black giant tortoise, burmese brown tortoise, burmese mountain tortoise, sixlegged tortoise",Manouria,Testudinidae,asian brown tortoise; asian giant tortoise; black giant tortoise; burmese brown tortoise; burmese mountain tortoise; sixlegged tortoise; asian tortoise ,Manouria ,Testudinidae
17,175,273,nilgiri longtailed tree mouse,Vandeleuria,Muridae,vandeleuria oleracea nilagirica; longtailed climbing mouse ,Vandeleuria ,Muridae
18,176,384,"dinagat hairytailed rat, russet batomys",Batomys,Muridae,dinagat batomys; dinagat hairytailed rat; russet batomys ,Batomys ,Muridae
19,177,270,makira flying fox,Pteropus,Pteropodidae,comoro black fruit bat; livingstones bat; livingstones flying fox ,Pteropus ,Pteropodidae
20,177,298,makira flying fox,Pteropus,Pteropodidae,greater mascarene flying fox; mauritan flying fox; mauritius fruit bat; mauritian flying fox ,Pteropus ,Pteropodidae
21,177,299,makira flying fox,Pteropus,Pteropodidae,greater mascarene flying fox; mauritan flying fox; mauritius fruit bat; mauritian flying fox ,Pteropus ,Pteropodidae
22,177,743,makira flying fox,Pteropus,Pteropodidae,rodrigues fruit bat; rodrigues flying fox ,Pteropus ,Pteropodidae
23,180,283,jollys mouse lemur,Microcebus,Cheirogaleidae,berthes mouse lemur; madame berthes mouse lemur ,Microcebus ,Cheirogaleidae
24,189,702,ankarana sportive lemur,Lepilemur,Lepilemuridae,lemur comadreja septentrional; northern sportive lemur ,Lepilemur ,Lepilemuridae
25,190,283,simmons mouse lemur,Microcebus,Cheirogaleidae,berthes mouse lemur; madame berthes mouse lemur ,Microcebus ,Cheirogaleidae
