,id,scientific_name,name,kingdom,phylum,class,order,family,genus,size,threats,conservation,threat_keywords,conservation_keywords,tCount,cCount
0,0,Papasula abbotti,abbotts booby ,Animalia,Chordata,Aves,Pelecaniformes,Sulidae,Papasula ,Length: 79 cm (2),Phosphate mining on Christmas Island in the 1960s and 70s caused the destruction of a third of Abbott's booby nesting habitat and has led to the subsequent deterioration of the remaining forest (4). Birds are strongly attached to nest sites and clearings are more exposed to wind turbulence which has a detrimental effect on breeding success and causes higher adult mortality (6). Recent development proposals for the island have again raised concern over the viability of remaining breeding habitat (5).,The majority of Abbott's booby nest sites occur within the Christmas Island National Park which was established in 1980 and covers 63 percent of the island (6). Nest site locations are monitored and the regeneration of previously cleared forest has occurred on much of the island (5). Although mining was resumed in 1990 it only involved the reworking of previously mined areas (6). The continued preservation and ban on clearing of the unique Christmas Island rainforest will be the key to the future viability of the Abbott's booby population (5). , , ,0,0.0
1,1,Cephalophus spadix,abbotts duiker ,Animalia,Chordata,Mammalia,Cetartiodactyla,Bovidae,Cephalophus ,50 ‚?? 60 kg (2),Like many other duikers Abbott‚??s duiker is being impacted by a combination of hunting and habitat destruction (1) (2) (5).†Hunted for its meat Abbott‚??s duiker falls prey to snares laid in the forests it inhabits even within so-called protected areas (1) (7) while suitable habitat is gradually encroached upon by agriculture and logging (1) (2) (5).†These human activities have resulted in the extinction of Abbott‚??s duiker in areas where it once occurred and in 2008 the total population of Abbott‚??s duiker was estimated at fewer than 1500 individuals (1).,Although Abbott‚??s duiker occurs within several protected areas such as the Kilimanjaro National Park Udzungwa Mountains National Park and New Dabaga/Ulangambi Forest Reserve this does not completely protect this duiker from the threats of habitat loss and illegal hunting (1) (2) (5).†In the Southern Highlands of Tanzania there are current efforts to employ hunters in environmental education initiatives in exchange for the cessation of hunting.†The Abbott‚??s duiker is also being used as a flagship species in village education programmes.†This will hopefully be beneficial for many forest-dwelling animals including the Abbott‚??s duiker (1).†The expansion of certain protected areas to incorporate other important forests inhabited by Abbott‚??s duiker (1) in addition to the enforcement of hunting bans within those areas (7) may be essential if this Endangered duiker is to survive. ,hunting; ,protected; ,1,1.0
2,2,Cephalophus spadix,abbotts duiker ,Animalia,Chordata,Mammalia,Cetartiodactyla,Bovidae,Cephalophus ,50 ‚?? 60 kg (2),Like many other duikers Abbott‚??s duiker is being impacted by a combination of hunting and habitat destruction (1) (2) (5).†Hunted for its meat Abbott‚??s duiker falls prey to snares laid in the forests it inhabits even within so-called protected areas (1) (7) while suitable habitat is gradually encroached upon by agriculture and logging (1) (2) (5).†These human activities have resulted in the extinction of Abbott‚??s duiker in areas where it once occurred and in 2008 the total population of Abbott‚??s duiker was estimated at fewer than 1500 individuals (1).,Although Abbott‚??s duiker occurs within several protected areas such as the Kilimanjaro National Park Udzungwa Mountains National Park and New Dabaga/Ulangambi Forest Reserve this does not completely protect this duiker from the threats of habitat loss and illegal hunting (1) (2) (5).†In the Southern Highlands of Tanzania there are current efforts to employ hunters in environmental education initiatives in exchange for the cessation of hunting.†The Abbott‚??s duiker is also being used as a flagship species in village education programmes.†This will hopefully be beneficial for many forest-dwelling animals including the Abbott‚??s duiker (1).†The expansion of certain protected areas to incorporate other important forests inhabited by Abbott‚??s duiker (1) in addition to the enforcement of hunting bans within those areas (7) may be essential if this Endangered duiker is to survive. ,hunting; ,protected; ,1,1.0
3,3,Tiliqua adelaidensis,adelaide pygmy bluetongue skink ,Animalia,Chordata,Reptilia,Squamata,Scincidae,Tiliqua ,Male snout-vent length: 3.8 - 10.6 cm (2)Female snout-vent length: 8.8 - 10.7 cm (2)Tail length: 2.2 - 7.9 cm (2),The Adelaide pygmy bluetongue skink was once feared to be the first of Australia‚??s approximately 700 reptiles to become extinct since European colonization. Thankfully it was rediscovered in 1992 after 33 years of being presumed extinct (3). Currently only ten small populations of the Adelaide pygmy bluetongue skinkare known to exist (6). Arguably Australia‚??s most enigmatic reptile its scarcity can be attributed to its unique ecology as well as population declines due to extensive habitat destruction (2)(3).,The South Australia Department of Environment and Conservation has produced a National Recovery Plan for the Adelaide pygmy bluetongue skink with the overall objective to achieve down-listing of the species from Endangered to Vulnerable within 10 years. The plan details actions such as ensuring remaining habitat is protected from any further degradation and undertaking field studies to establish the skink‚??s habitat requirements (6). At present all populations of the Adelaide pygmy bluetongue skink occur on private land making the establishment of agreements with landowners an essential part of any plan and incentives may be offered to landowners to become involved in establishing sanctuaries for the Adelaide pygmy bluetongue skink on their land (6). , ,protected; ,0,1.0
4,4,Spheniscus demersus,african penguin ,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus ,Length: 60 - 70 cm (2),The population of the African penguin has declined and it is estimated that its current size is a mere 10 percent of what it was at the turn of the 20th Century. Originally the fall in numbers was the result of the over-collection of eggs for food and disturbance caused by the collection of <strong>guano</strong> for fertiliser. Today however depleted fish stocks due to over-fishing and the risk of oil pollution are the most pertinent threats to the survival of the African penguin (5); a recent oil spill affected around 40 percent of the population.† Predation by Cape fur seals (<em>Arctocephalus pusillus</em>) and competition with them for food and breeding sites as well as shark predation has also had severe effects on African penguin numbers (2). The ongoing and rapid decline of the African penguin led to the species being uplisted from Vulnerable to Endangered on the IUCN Red List in 2010 (2).,The African penguin is protected by its listing on Appendix II of the Convention on International Trade in Endangered Species (CITES) (3) and on Appendix II of the Convention on Migratory Species (CMS) (4). All of the breeding areas of the African penguin in South Africa are protected as National Parks or Nature Reserves and the collection of <strong>guano</strong> or eggs is no longer permitted. The recovery of rescued oiled African penguins has also been shown to be successful. Populations need further monitoring and the possibility of conserving fish stocks is under investigation amongst other measures if the future of Africa‚??s only penguin is to be secured (2). ,fishing;pet;pollution; ,cites;protected; ,3,2.0
5,5,Lycaon pictus,african wild dog ,Animalia,Chordata,Mammalia,Carnivora,Canidae,Lycaon ,18 - 34 kg (2),African wild dogs require large home ranges to support viable populations and recent habitat fragmentation has caused a population decline (4). African wild dogs traditionally have a reputation for attacking livestock and despite this rarely occurring in practice they are therefore often persecuted wherever they come into contact with humans (2) (4). In addition road accidents and incidental snaring have recently become an important cause of mortality (2). These wild dogs are susceptible to disease; particularly those carried by domestic dogs such as canine distemper and rabies. A final threat that keeps African wild dog populations low is competition and predation with the other large carnivores of the African savanna such as lions and spotted hyaenas (6).,The current population of African wild dogs is estimated to be less than 5500 individuals (2). The majority of dogs are found in medium sized populations which are extremely vulnerable to sudden environmental change. Due to their expansive home ranges large areas of contiguous habitat are the key to the survival of this species and it is estimated that protected areas need to be greater than 10000 square kilometres in order to prevent detrimental contact with local human settlements (2) (4). Consequently even most of the larger reserves cannot fully contain African wild dog packs leading to clashes with humans (2). Preventing persecution through education is also a priority of the conservation action plan (2) (4) in an effort to preserve this most intriguing and unique <strong>canid</strong>. ,fragmentation;disease;pet; ,protected; ,3,1.0
6,6,Loxops coccineus,akepa ,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Loxops ,Length: 10¬†cm (2),With its dependence on large mature trees the extensive forest clearance that has occurred on Hawaii has had a catastrophic effect on the akepa. Not only have significant numbers of mature trees been lost to logging but the remaining exposed trees have become more vulnerable to windfall. Despite reforestation efforts the planted trees take decades to develop natural cavities and cannot possibly provide the akepa with nesting habitat fast enough to offset its rapid population decline (2) (3).,Listed as Endangered by the U.S. Fish and Wildlife Service in 1970 the akepa was one of the species targeted in the 1982 Hawaii Forest Bird Recovery Plan leading to the improved protection and management of its habitat (3). A number of protected areas currently support akepa populations in particular Hakalau Forest National Wildlife Refuge which contains large numbers. Within these areas reforestation efforts are helping to restore this species‚?? habitat in the long-term while artificial nesting boxes are providing a promising short-term benefit to the akepa‚??s survival (2) (3). ,disease; ,captive breeding;protected; ,1,2.0
7,7,Hemignathus munroi,akiapolaau ,Animalia,Chordata,Aves,Passeriformes,Drepanididae,Hemignathus ,Length: 14 cm (2),As with many species on Hawaii the ‚??Akiapola‚??au is threatened by deforestation and habitat degradation due to livestock grazing and is also preyed upon by introduced rats and feral cats. The introduction of mosquitoes to Hawaii has resulted in the spread of avian diseases which confine many bird species including the ‚??Akiapola‚??au to higher elevations. This species has a low reproductive rate and is slow to recover from population reductions (2).,Relatively large ‚??Akiapola‚??au populations are found within the boundaries of Ka‚??u Forest Reserve and Hakalau Forest National Wildlife Refuge. Outside these areas some habitat is being restored (2) and young koa forests on the volcano of Mauna Loa now support high densities of Akiapolaau (6). It is hoped that the ‚??Akiapola‚??au might be <strong>re-introduced</strong> into other newly restored habitat. Plans to restore corridors of habitat between areas of forest occupied by the ‚??Akiapola‚??au may reduce the damaging effects of habitat fragmentation including <strong>inbreeding depression</strong> (2). ,disease; , ,1,0.0
8,8,Hemignathus munroi,akiapolaau ,Animalia,Chordata,Aves,Passeriformes,Drepanididae,Hemignathus ,Length: 14 cm (2),As with many species on Hawaii the ‚??Akiapola‚??au is threatened by deforestation and habitat degradation due to livestock grazing and is also preyed upon by introduced rats and feral cats. The introduction of mosquitoes to Hawaii has resulted in the spread of avian diseases which confine many bird species including the ‚??Akiapola‚??au to higher elevations. This species has a low reproductive rate and is slow to recover from population reductions (2).,Relatively large ‚??Akiapola‚??au populations are found within the boundaries of Ka‚??u Forest Reserve and Hakalau Forest National Wildlife Refuge. Outside these areas some habitat is being restored (2) and young koa forests on the volcano of Mauna Loa now support high densities of Akiapolaau (6). It is hoped that the ‚??Akiapola‚??au might be <strong>re-introduced</strong> into other newly restored habitat. Plans to restore corridors of habitat between areas of forest occupied by the ‚??Akiapola‚??au may reduce the damaging effects of habitat fragmentation including <strong>inbreeding depression</strong> (2). ,disease; , ,1,0.0
9,9,Pelophylax shqipericus,albanian water frog ,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax ,Male length: c. 71 mm (2)Female length: c. 74 mm (2),The main threats to the Albanian water frog are the drainage of wetlands and agrochemical and industrial pollution of aquatic habitats. Over-collection of this species for commercial purposes is a significant threat in the northern parts of its range such as along the shores of Lake Skadar (1) (3) (4).,The Albanian water frog is listed on Appendix III of the Bern Convention which means that it should be afforded protection (12). ,pet;pollution; ,protected; ,2,1.0
10,10,Pelophylax shqipericus,albanian water frog ,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax ,Male length: c. 71 mm (2)Female length: c. 74 mm (2),The main threats to the Albanian water frog are the drainage of wetlands and agrochemical and industrial pollution of aquatic habitats. Over-collection of this species for commercial purposes is a significant threat in the northern parts of its range such as along the shores of Lake Skadar (1) (3) (4).,The Albanian water frog is listed on Appendix III of the Bern Convention which means that it should be afforded protection (12). ,pet;pollution; ,protected; ,2,1.0
11,11,Fitzroya cupressoides,alerce ,Plantae,Tracheophyta,Coniferopsida,Coniferales,Cupressaceae,Fitzroya ,Height: up to 60 m (2)Diameter of trunk: up to 5 m (4),The wood of the alerce is highly prized as it is durable but lightweight and it has been used to make anything from furniture to ship masts (5). The resilience of the wood is evident from roofing tiles that are still in good condition despite being between 130 - 150 years old (2). Lumbering in Chile began towards the end of the 16th Century and continued right up to 1976 when the species was declared a National Monument and the cutting of trees was therefore prohibited (7). The massive over-exploitation of the alerce caused population numbers to be decimated and by the early 1900s a third of the <em>Fitzroya</em> forests had been lost (1). The naturally slow regeneration of this species means that any timber harvest is unsustainable and despite logging bans the species has not shown any sign of recovery (2). Today the coastal populations appear to be declining although the direct cause is unclear; large tracts of dead white stems have been found although the time of death in many of these stands is unknown (7).,Logging of <em>Fitzroya cupressoides</em> is prohibited throughout the range of this magnificent tree and international trade is banned by its listing on Appendix I of the Convention on International Trade in Endangered Species (CITES) (1). In collaboration with the Royal Botanic Gardens Edinburgh the University of Santiago is carrying out research into the conditions required for regeneration in order to assist propagation of these trees (8). The Global Trees Campaign is also involved in initiatives to restore and conserve remnant forests (6). The alerce has a long history in Chile and it is hoped that these efforts will help to restore the ancient forests to some of their former glory. , ,cites; ,0,1.0
12,12,Fitzroya cupressoides,alerce ,Plantae,Tracheophyta,Coniferopsida,Coniferales,Cupressaceae,Fitzroya ,Height: up to 60 m (2)Diameter of trunk: up to 5 m (4),The wood of the alerce is highly prized as it is durable but lightweight and it has been used to make anything from furniture to ship masts (5). The resilience of the wood is evident from roofing tiles that are still in good condition despite being between 130 - 150 years old (2). Lumbering in Chile began towards the end of the 16th Century and continued right up to 1976 when the species was declared a National Monument and the cutting of trees was therefore prohibited (7). The massive over-exploitation of the alerce caused population numbers to be decimated and by the early 1900s a third of the <em>Fitzroya</em> forests had been lost (1). The naturally slow regeneration of this species means that any timber harvest is unsustainable and despite logging bans the species has not shown any sign of recovery (2). Today the coastal populations appear to be declining although the direct cause is unclear; large tracts of dead white stems have been found although the time of death in many of these stands is unknown (7).,Logging of <em>Fitzroya cupressoides</em> is prohibited throughout the range of this magnificent tree and international trade is banned by its listing on Appendix I of the Convention on International Trade in Endangered Species (CITES) (1). In collaboration with the Royal Botanic Gardens Edinburgh the University of Santiago is carrying out research into the conditions required for regeneration in order to assist propagation of these trees (8). The Global Trees Campaign is also involved in initiatives to restore and conserve remnant forests (6). The alerce has a long history in Chile and it is hoped that these efforts will help to restore the ancient forests to some of their former glory. , ,cites; ,0,1.0
