,id,name,genus,family,ecology,countries,threat_paragraph,conservation_paragraph,pop_trend,status,country_count,scientific_name
0,0,ochlockonee moccasinshell,Medionidus,Unionidae,Freshwater,"United States (Florida, Georgia); ",,,,"
    Critically Endangered


    A1ce

    ",1,Medionidus simpsonianus
1,1,nelsons spiny pocket mouse,Heteromys,Heteromyidae,Terrestrial,Guatemala; Mexico (Chiapas); ,"
    The main threat to this species is the significant forest loss in its habitat. Habitat fragmentation, landslides, and floods are additional threats.

    
  ","['\n    This species occurs in a newly-named national park, Tacana, in Mexico.\n\n    \n  ']",Decreasing,"
    Endangered


    B1ab(i,ii,iii,v)

    ",2,Heteromys nelsoni
2,2,comoro friar,Amauris,Nymphalidae,,Comoros; ,,,,"
    Endangered


    B1+2c, C2b

    ",1,Amauris comorana
3,3,"atlantic halibut, halibut",Hippoglossus,Pleuronectidae,,<div>Atlantic �?? northeast; Atlantic �?? northwest</div>; Canada (Newfoundland I); Denmark; Faroe Islands; France; Germany; Greenland; Iceland; Netherlands; Norway; Russian Federation; Sweden; United Kingdom; United States (Alaska); ,,,,"
    Endangered


    A1d

    ",15,Hippoglossus hippoglossus
4,4,nan,Hirasea,Endodontidae,,Japan (Ogasawara-shoto); ,,,,"
    Endangered


    A1d

    ",1,Hirasea acutissima
5,5,nan,Hirasea,Endodontidae,,Japan (Ogasawara-shoto); ,,,,"
    Endangered


    A2b

    ",1,Hirasea chichijimana
6,6,nan,Hirasea,Endodontidae,,Japan (Ogasawara-shoto); ,,,,"
    Endangered


    A2b

    ",1,Hirasea diplomphalus
7,7,nan,Hirasea,Endodontidae,,Japan (Ogasawara-shoto); ,,,,"
    Endangered


    A1d

    ",1,Hirasea insignis
8,8,nan,Hirasea,Endodontidae,,Japan (Ogasawara-shoto); ,,,,"
    Endangered


    A2b

    ",1,Hirasea operculina
9,9,nan,Hirthia,Paludomidae,Freshwater,"Burundi; Congo, The Democratic Republic of the; Tanzania, United Republic of; Zambia; ","
    It is possible that in Tanzania sedimentation could threaten the species.

    
  ",['\n    No information available.\n\n    \n  '],Unknown,"
    Endangered


    B1ab(iii)

    ",4,Hirthia littorina
10,10,oktibbeha riverlet crayfish,Hobbseus,Cambaridae,Freshwater,United States (Mississippi); ,"
    This species is threatened by habitat degradation through residential and urban developments at its type locality, from which it is now believed to have been extirpated. These developments result usually in complete destruction of the small streams which this species requires (R.L. Jones pers. comm. 2010). In addition, development over intermittent ponds is known to remove habitat   (S. Adams, pers. comm. 2009, R.L. Jones pers. comm 2010).  Due to its restricted distribution and occurrence in one area (two locations 216 metres apart) this species is extremely susceptible to threats.

    
  ","['\n', <span style=""font-style: italic;""></span>, 'This species has been given the Global Heritage Status Rank of G1 by NatureServe   (Taylor ', <em>et al.</em>, "" 2007, NatureServe 2009) and 'threatened' by the American Fisheries Society (Taylor "", <span style=""font-style: italic;"">et al</span>, '. 2007) based on a loss of habitat quality, and a restricted range.', <br/>, <br/>, 'Further research on population trends for this species is needed.\n\n    \n  ']",Unknown,"
    Endangered


    B1ab(iii)

    ",1,Hobbseus orconectoides
11,11,yalobusha riverlet crayfish,Hobbseus,Cambaridae,Freshwater,United States (Mississippi); ,"
    The threats to this species include channelization, head-cutting of streams, and loss of riparian strips (NatureServe 2009). Channelization along with headcutting are thought to be affecting the global population of this species (S. Adams pers.comm. 2010). It is thought that this has increased fragmentation of the headwater habitat (S.Adams pers.comm. 2010).

    
  ","['\n    This species has been given the Global Heritage Status Rank of G2 by NatureServe   (Taylor ', <em>et al.</em>, "" 2007, NatureServe 2009)   and 'endangered' by the American Fisheries Society (Taylor "", <span style=""font-style: italic;"">et al.</span>, ' 2007), based on a restricted range, and modification or reduction of the species range.', <br/>, <br/>, 'Further research on site specific threats is needed.\n\n    \n  ']",Unknown,"
    Endangered


    B1ab(iii)

    ",1,Hobbseus yalobushensis
12,12,"danube salmon, huchen",Hucho,Salmonidae,Freshwater,Austria; Bosnia and Herzegovina; Croatia; Czech Republic; Germany; Hungary; Montenegro; Poland; Romania; Serbia (Serbia); Slovakia; Slovenia; Ukraine; ,"
    Historically overfishing, pollution and dam construction caused the decline of the species. Currently the main the threats are hydropower stations which heavily regulate flow regime (which impacts upon their prey and habitat), and pollution in some countries (Bosnia and Croatia).

    
  ","['\n    Restocking, fishing regulations. A EU LIFE project in Austria to improve habitat conditions (now finished and seems to have been successful). Listed on Appendix III of the Bern Convention.\n\n    \n  ']",Unknown,"
    Endangered


    B2ab(ii,iii)

    ",13,Hucho hucho
