_id,name_name_jac_qgm_3_qgm_3,name_name_jac_dlm_dc0_dlm_dc0,countries_countries_jac_qgm_3_qgm_3,countries_countries_cos_dlm_dc0_dlm_dc0,countries_countries_jac_dlm_dc0_dlm_dc0,countries_countries_mel,countries_countries_lev_dist,countries_countries_lev_sim,countries_countries_nmw,countries_countries_sw,country_count_country_count_exm,country_count_country_count_anm,country_count_country_count_lev_dist,country_count_country_count_lev_sim,status_match,country_overlap,country_count_sim,label
5677821,,,0.0,0.0,0.0,0.37222222222222223,14,0.06666666666666665,-2.0,2.0,1,1.0,0.0,1.0,1,0.0,1,0
7689649,,,0.0,0.0,0.0,0.4640522875816993,32,0.058823529411764726,-26.0,1.0,0,0.33333333333333337,1.0,0.0,0,0.0,0,0
8160094,0.19607843137254904,0.2857142857142857,0.0,0.0,0.0,0.4632967032967033,21,0.16000000000000006,-8.0,3.0,1,1.0,0.0,1.0,1,0.0,1,0
8884319,,,0.0,0.0,0.0,0.4518518518518519,14,0.06666666666666665,-5.0,1.0,1,1.0,0.0,1.0,0,0.0,1,0
6186032,0.2272727272727273,0.25,0.0,0.0,0.0,0.3803030303030303,19,0.05000000000000005,-8.0,1.0,0,0.5,1.0,0.0,0,0.0,1,0
1780646,0.15,0.25,0.0,0.0,0.0,0.4527027027027027,33,0.10810810810810813,-25.0,3.0,0,0.33333333333333337,1.0,0.0,0,0.0,0,0
4414895,0.3035714285714285,0.25,0.0,0.0,0.0,0.25740740740740736,38,0.05000000000000005,-29.0,2.0,0,0.5,1.0,0.0,0,0.0,1,0
4414984,0.35714285714285715,0.5,0.027777777777777776,0.0,0.0,0.5879629629629629,21,0.125,-12.0,3.0,1,1.0,0.0,1.0,0,0.0,1,0
7689629,0.18867924528301888,0.125,0.0,0.0,0.0,0.4904474610356964,29,0.1470588235294118,-16.0,2.0,0,0.33333333333333337,1.0,0.0,0,0.0,0,0
8966646,0.1,0.25,0.15873015873015872,0.0,0.0,0.5032908268202386,34,0.1282051282051282,-4.0,12.0,0,0.33333333333333337,1.0,0.0,1,1.0,0,0
4143499,,,0.0,0.0,0.0,0.39070048309178745,21,0.08695652173913049,-13.0,2.0,0,0.5,1.0,0.0,1,0.0,1,0
2434470,,,0.022727272727272728,0.0,0.0,0.3636363636363636,30,0.09090909090909094,-21.0,3.0,0,0.5,1.0,0.0,1,0.0,1,0
2103735,0.07142857142857142,0.25,0.0,0.0,0.0,0.4061355311355312,12,0.1428571428571429,1.0,2.0,1,1.0,0.0,1.0,0,0.0,1,0
8974564,0.16666666666666666,0.5,0.2325581395348837,0.0,0.0,0.7045454545454546,23,0.303030303030303,-9.0,12.0,1,1.0,0.0,1.0,1,1.0,1,0
5517359,0.8,1.0,0.0,0.0,0.0,0.3002385211687537,38,0.11627906976744184,-25.0,2.0,0,0.33333333333333337,1.0,0.0,1,0.0,0,1
6189197,0.1956521739130435,0.25,0.0,0.0,0.0,0.4331550802139037,16,0.058823529411764726,-5.0,1.0,1,1.0,0.0,1.0,1,0.0,1,0
7692936,,,0.0,0.0,0.0,0.4640522875816993,32,0.058823529411764726,-26.0,1.0,0,0.33333333333333337,1.0,0.0,1,0.0,0,0
7281346,0.0,0.0,0.07692307692307693,0.0,0.0,0.4834869431643625,26,0.16129032258064513,-19.0,5.0,0,0.5,1.0,0.0,1,1.0,1,0
