_id,ltable_id,rtable_id,ltable_name,ltable_genus,ltable_family,ltable_ecology,ltable_countries,ltable_threat_paragraph,ltable_conservation_paragraph,ltable_pop_trend,ltable_status,ltable_country_count,ltable_scientific_name,rtable_scientific_name,rtable_name,rtable_kingdom,rtable_phylum,rtable_class,rtable_order,rtable_family,rtable_genus,rtable_size,rtable_threats,rtable_conservation,rtable_threat_keywords,rtable_conservation_keywords,rtable_status,rtable_countries,rtable_country_count,rtable_tCount,_id.1,ltable_id.1,rtable_id.1,name_name_jac_qgm_3_qgm_3,name_name_jac_dlm_dc0_dlm_dc0,countries_countries_jac_qgm_3_qgm_3,countries_countries_cos_dlm_dc0_dlm_dc0,countries_countries_jac_dlm_dc0_dlm_dc0,countries_countries_mel,countries_countries_lev_dist,countries_countries_lev_sim,countries_countries_nmw,countries_countries_sw,country_count_country_count_exm,country_count_country_count_anm,country_count_country_count_lev_dist,country_count_country_count_lev_sim,status_match,country_overlap,country_count_sim,label
7194499,7679,908,ebners skink,Chalcides,Scincidae,Terrestrial,Morocco; ,"
    This species has a restricted range, and is highly threatened by habitat loss principally through intensification of agricultural practices.

    
  ",['\n    There is a need to survey more widely for this species. It is not known to occur in any protected areas.\n\n    \n  '],Decreasing,Critically Endangered,1,Chalcides ebneri,Chalcides mauritanicus,twofingered skink ,Animalia,Chordata,Reptilia,Squamata,Scincidae,Chalcides ,Length: 6 - 8 cm (2),The two-fingered skink occupies a restricted and fragmented range and is under threat from a decline in the extent and quality of its habitat (1). The coastal areas it occupies are being affected by development for tourism and military uses while the collection of driftwood by local people is removing essential ground cover for this species. The two-fingered skink is not known to survive in highly degraded habitats (1).,The two-fingered skink occurs in a few protected areas including Embouchure de la Moulouya and Sebkha Bou Areg (1). There are not known to be any specific conservation measures currently in place for this rare lizard but further surveys have been recommended to better establish the extent of its distribution (1). , ,protected; ,Critically Endangered,['Montenegro'],1,0,7194499,7679,908,0.13333333333333333,0.3333333333333333,0.0,0.0,0.0,0.5158730158730158,11,0.2142857142857143,-2.0,2.0,1,1.0,0.0,1.0,1,0.0,1,0
2111743,6353,266,"dark red meranti, meranti merah",Shorea,Dipterocarpaceae,Terrestrial,Indonesia (Sumatera); Malaysia (Peninsular Malaysia); Thailand; ,,,,Critically Endangered,3,Shorea singkawang,Shorea platyclados,dark red meranti ,Plantae,Tracheophyta,Magnoliopsida,Theales,Dipterocarpaceae,Shorea ,Trunk diameter: up to 172 cm (2),Dipterocarp forests have become amongst the most endangered in the world widely logged for use in furniture-making general construction and boat-building (7). Furthermore the slow growth of these trees and late flowering mean that many trees are cut down before having a chance to reproduce (4).,Some subpopulations of this species are found in primary forest reserves where they receive varying levels of protection (1). Furthermore because of their high economic value there have been efforts to replant dipterocarp forests which may include species such as this dark red meranti (4). , , ,Endangered,"['Tunisia', 'Algeria', 'Morocco']",3,0,2111743,6353,266,0.6538461538461539,0.6,0.011904761904761904,0.0,0.0,0.4741161616161616,53,0.171875,-20.0,7.0,1,1.0,0.0,1.0,0,0.0,1,0
5828455,3015,736,,Puya,Bromeliaceae,Terrestrial,Ecuador; ,,['\n    Not known to occur within any protected areas.\n\n    \n  '],,Endangered,1,Puya roseana,Puya raimondii,queen of the andes ,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Puya ,Puya (1),The high Peruvian Andes have suffered thousands of years of heavy human impact through vegetation destruction grazing by livestock fires and the introduction of exotic species (5). Today the Queen of the Andes has an extremely fragmented distribution with many populations comprising just a few hundred individuals or even less. Cattle are often allowed to roam freely in this speciesÃ¢?? habitat which results in the trampling or consumption of young plants hindering reproduction. Fires are often used to create farmland as well as to gain access to the starch in this plantÃ¢??s trunk to feed cattle indiscriminately destroying all vegetation in the area (1) (4).Â ,Due to its high proportion or rare and <strong>endemic</strong> plant species the Andean region is regarded as being a Ã¢??hyperhotÃ¢?? priority for plant conservation meaning action is urgently required to preserve this unique ecosystem and its important vegetation. Any conservation action in the Andes cannot fail to consider the need to conserve the Queen of the Andes perhaps the most conspicuous and charismatic member of the Andean floral community (5).Â  , , ,Critically Endangered,[],0,0,5828455,3015,736,,,0.0,0.0,0.0,0.0,9,0.0,-7.0,0.0,0,0.0,1.0,0.0,0,0.0,1,0
7692915,7450,971,,Eleutherodactylus,Eleutherodactylidae,Terrestrial,Haiti; ,"
    Severe habitat destruction is the primary threat to this species, largely as a result of logging by local people (charcoaling) and slash-and-burn agriculture.

    
  ","['\n    The species occurs in the Parc National Morne La Visite, but there is no active management of this area for conservation, and the habitat continues to be destroyed. Improved management of this protected area, and maintenance of the existing habitat, is urgently needed.\n\n    \n  ']",Unknown,Critically Endangered,1,Eleutherodactylus darlingtoni,Eleutherodactylus wightmanae,wightmans robber frog ,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Eleutherodactylus ,Female snout-vent length: 2 cm (2),Already restricted in range WightmanÃ¢??s robber frog populations are in a continuing decline estimated to be greater that 50 percent of the population over a ten year period (1). Threats to this species and its habitat include urban pollution land clearing forest burning and deforestation (1) (4).Â ,Despite not being the target of any known conservation measures WightmanÃ¢??s robber frog is afforded a degree of protection in a number of well-managed protected areas. A major conservation priority for this species is further research into determining the cause of its decline (1). There is also a need for implementing a monitoring programme of populations such that trends and responses to changes in habitat as well as climate change and natural disturbances such as hurricanes can be assessed (8). ,disease;pollution; ,protected; ,Critically Endangered,"['Turkey', 'Greece', 'Mauritania']",3,2,7692915,7450,971,,,0.0,0.0,0.0,0.3907563025210084,30,0.11764705882352945,-23.0,2.0,0,0.33333333333333337,1.0,0.0,1,0.0,0,0
3399812,4277,429,"bluelegged mantella, tular golden frog, tular mantella, tulear golden frog",Mantella,Mantellidae,Terrestrial; Freshwater,Madagascar; ,"
    The main threat to this species is habitat loss due to grazing and fire, and in some localized regions due to mining for sapphires. It is actively sought after for the pet trade, and during the rainy season up to several thousand specimens can be collected. Such collecting might pose a major threat to the species, but this has not, as yet, been demonstrated.

    
  ","['\n    It occurs in Parque Nacional de Isalo. Trade in this species needs to be very carefully regulated, and the populations require close monitoring (Andreone ', <span style=""font-style: italic;"">et al</span>, '. 2006). It is listed on CITES Appendix II.\n\n    \n  ']",Decreasing,Endangered,1,Mantella expectata,Mantella viridis,green mantella ,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella ,Male length: 22 Ã¢?? 25 mm (2)Female length: 25 Ã¢?? 30 mm (2),Having suffered over-collection for the pet trade in the past populations of green mantellas are now most threatened by habitat degradation. The green mantella is still locally abundant but it exists in a very small range and so is at risk of extinction if its habitat is not protected from the fires selective logging firewood collection and livestock grazing that currently threaten it. Too much forest loss will have cumulative effects as the streams could dry out (1).,Trade regulations have successfully reduced collection of this species but trade must continue to be carefully controlled to ensure its survival. It does not occur in any protected areas but it is sometimes bred in captivity (1). ,loss;pet; ,protected; ,Endangered,"['Madagascar', 'Mauritius']",2,2,3399812,4277,429,0.14545454545454545,0.0,0.2352941176470588,0.0,0.0,0.7746913580246914,16,0.4074074074074073,-4.0,10.0,0,0.5,1.0,0.0,1,1.0,1,0
4228158,1548,534,"kakabeak, lobster claw, new zealand parrotsbill, parrotsbill",Clianthus,Leguminosae,Terrestrial,New Zealand (North Is.); ,"
    Browsing by goats, pigs, deer and possums and the illegal collecting of seedlings have caused more recent declines in numbers.

    
  ",['\n    Most of the 200 species occur within the boundaries of Urewera National Park.\n\n    \n  '],,Endangered,1,Clianthus puniceus,Clianthus puniceus,kakabeak ,Plantae,Tracheophyta,Magnoliopsida,Fabales,Leguminosae,Clianthus ,Height: 90 Ã¢?? 180 cm (2)Leaf length: 7.5 - 15 cm (2)Flower length: up to 7.5 cm (2),The significant kaka-beak declines seen can probably by attributed to the combined impact of habitat destruction browsing by goats pigs deer and introduced brown snails and the fact that the species requires permanently open or early <strong>successional</strong> sites (1) (7). Due to its habitat requirements the kaka-beak was probably never a common plant and may owe its survival partly to the old-time Maori who cultivated it in their villages (6).   Today a large secure cultivated population exists although it appears to contain very limited genetic diversity (7).,Most of the 200 remaining wild specimens occur within the boundaries of the Te Urewera National Park and the extensive cultivated populations do provide potential for reintroductions. A Recovery Plan has also been devised for this popular wild shrub outlining management strategies to maintain existing populations and increase total numbers of wild plants (7). , , ,Endangered,['New Caledonia'],1,0,4228158,1548,534,0.14545454545454545,0.0,0.045454545454545456,0.0,0.0,0.5896256684491981,19,0.24,-4.0,5.0,1,1.0,0.0,1.0,1,0.0,1,1
4414968,6313,557,,Shorea,Dipterocarpaceae,Terrestrial,Indonesia (Kalimantan); Malaysia (Sarawak); ,"
    Forest degradation and logging have brought the species close to extinction. Its slow growth makes it particularly vulnerable to the affects of continual logging.

    
  ",,,Critically Endangered,2,Shorea induplicata,Shorea leprosula,light red meranti ,Plantae,Tracheophyta,Magnoliopsida,Theales,Dipterocarpaceae,Shorea ,Height: up to 60 m (2),Light red meranti has been heavily exploited for its valuable timber leaving populations of this threatened tree drastically reduced (1).,The light red meranti is known to occur in some forest reserves (1). , , ,Endangered,['India'],1,0,4414968,6313,557,,,0.019230769230769232,0.0,0.0,0.5563973063973063,41,0.06818181818181822,-32.0,3.0,0,0.5,1.0,0.0,0,0.0,1,0
2111705,6315,266,yellow meranti,Shorea,Dipterocarpaceae,,Malaysia (Sabah); ,,,,Critically Endangered,1,Shorea kudatensis,Shorea platyclados,dark red meranti ,Plantae,Tracheophyta,Magnoliopsida,Theales,Dipterocarpaceae,Shorea ,Trunk diameter: up to 172 cm (2),Dipterocarp forests have become amongst the most endangered in the world widely logged for use in furniture-making general construction and boat-building (7). Furthermore the slow growth of these trees and late flowering mean that many trees are cut down before having a chance to reproduce (4).,Some subpopulations of this species are found in primary forest reserves where they receive varying levels of protection (1). Furthermore because of their high economic value there have been efforts to replant dipterocarp forests which may include species such as this dark red meranti (4). , , ,Endangered,"['Tunisia', 'Algeria', 'Morocco']",3,0,2111705,6315,266,0.206896551724138,0.25,0.02,0.0,0.0,0.3908128908128908,28,0.1515151515151515,-10.0,3.0,0,0.33333333333333337,1.0,0.0,0,0.0,0,0
4952262,5387,625,perriers sifaka,Propithecus,Indriidae,Terrestrial,Madagascar; ,"
    Slash-and-burn activities resulting in forest loss represents the greatest threat to this species. Additional threats include fires set to increase livestock pasture, the cutting of trees to produce charcoal, forest destruction caused by itinerant miners, and hunting. During the dry season, they drink water on the ground, and when they move between forest patches they move along the ground where their conspicuous colouration makes them vulnerable to predators and hunters.

    
  ","['\n    This species is listed on Appendix I of CITES. ', <span lang=""EN-CA"">One of the rarest and most endangered lemurs (and indeed of all the world's primates). The total population could be as few as 500, and the effective breeding population only 125 individuals. The only protected area in which it is known to occur is the Analamerana Special Reserve. A small number may still be found as well in the eastern section of Ankarana National Park, which is connected through a series of forest patches to populations at Andriafiamena and Analamerana. It has recently been seen in unprotected forest patches between Analamerana and Ankarana, and is present in the Andavakoera Classified Forest, but probably in very low numbers. There is an urgent need for a full-time, long-term scientific presence in the Analamerana Special Reserve, as well as an expansion of this protected area to include the forests of Andriafiamena and a connection to Ankarana. This effort should also include an education campaign in the region, as well as surveys in nearby forest patches to look for any other populations. This species is not being kept in captivity.ÃÂ Research into sifaka captivity is needed to establish<span class=""apple-converted-space"">ÃÂ ex situ<span class=""apple-converted-space"">ÃÂ conservation for this species.ÃÂ It is important to note that population densities of sifakas on sandstone soil are more than twice the population density found on limestone soils. This should enter into the conservation equation and protecting sandstone sites should be a priority.</span>
</span></span>]",Decreasing,Critically Endangered,1,Propithecus perrieri,Propithecus edwardsi,milneedwards sifaka ,Animalia,Chordata,Mammalia,Primates,Indriidae,Propithecus ,5 Ã¢?? 6.5 kg (2),<strong>Slash-and-burn</strong> agriculture a common practice in Madagascar alongside logging poses the greatest threat to the survival of Milne-EdwardsÃ¢?? sifaka by destroying its rainforest habitat. Regrettably such activities even take place within so-called protected areas (1).Â  Both gold mining and illegal rum production are also degrading suitable habitat in certain parts of the sifakaÃ¢??s range (1). Compounding the threat of habitat loss is the threat of hunting; being a large lemur it is an attractive target for hunters. Luckily hunting is largely restricted to the northern part of Milne-EdwardsÃ¢?? sifakaÃ¢??s range as taboos are prevalent among local people in southern parts of its range (1). Â ,Milne-EwardsÃ¢?? sifaka occurs in two national parks Andringitra and Ranomafana (1) although as mentioned above this does not offer this threatened lemur complete protection.Â  It is also listed on Appendix I of the Convention on International Trade in Endangered Species (CITES) meaning that international trade in this species is prohibited (3).Â  It has been suggested that unprotected areas of forest that harbour important populations of this species should be protected (1) but increased enforcement of such protected areas is also likely to be required if this Endangered species is to survive. ,loss;hunting; ,cites;protected; ,Endangered,"['Mexico', 'United States']",2,2,4952262,5387,625,0.18181818181818185,0.3333333333333333,0.0,0.0,0.0,0.4537037037037037,25,0.07407407407407407,-13.0,2.0,0,0.5,1.0,0.0,0,0.0,1,0
8078465,5165,1020,,Armeria,Plumbaginaceae,Terrestrial; Freshwater,Italy (Italy (mainland)); ,"
    The main threats to the species are drainage of its habitat, and agricultural pollution with fertilisers and accumulation of organic material.

    
  ","['\n    This species is classified as Critically Endangered in Italy (Scoppola and Spampinato 2005). It is listed as an important species in Annex II of the Habitats Directive 92/43/CEE. All the existing sites are included in a SCI (Site of Community Interest) but the numbers of mature individuals are still decreasing.', <br/>, <span style=""font-style: italic;"">Ex situ</span>, ' conservation measures are recommended. More research on this species is needed.\n\n    \n  ']",Decreasing,Critically Endangered,1,Armeria helodes,Armeria helodes,armeria ,Plantae,Tracheophyta,Magnoliopsida,Plumbaginales,Plumbaginaceae,Armeria ,Height: 25 - 45 cm (2),At the start of the 20th century <em>Armeria helodes</em> was widespread across around 60 square kilometres of wetlands. However its habitat has been severely reduced and fragmented and <em>Armeria helodes</em> is now restricted to seven isolated subpopulations in the few remaining habitat patches. Each subpopulation contains just five to ten mature plants and <em>Armeria helodes</em> is considered to be at high risk of extinction (1) (4) (7).,<em>Armeria helodes</em> is classified as Ã¢??Critically EndangeredÃ¢?? in Italy (1) (2) and is listed as an important species in Annex II of the EU Habitats Directive which aims to protect habitats and species across Europe (8). ,pet;pollution; ,protected; ,Critically Endangered,['Philippines'],1,2,8078465,5165,1020,,,0.0,0.0,0.0,0.3273504273504273,23,0.11538461538461542,-8.0,2.0,1,1.0,0.0,1.0,1,0.0,1,1
