_id,name_name_jac_qgm_3_qgm_3,name_name_jac_dlm_dc0_dlm_dc0,countries_countries_jac_qgm_3_qgm_3,countries_countries_cos_dlm_dc0_dlm_dc0,countries_countries_jac_dlm_dc0_dlm_dc0,countries_countries_mel,countries_countries_lev_dist,countries_countries_lev_sim,countries_countries_nmw,countries_countries_sw,country_count_country_count_exm,country_count_country_count_anm,country_count_country_count_lev_dist,country_count_country_count_lev_sim,status_match,country_overlap,country_count_sim
2103728,0.35714285714285715,0.5,0.0,0.0,0.0,0.4241622574955908,47,0.12962962962962965,-33.0,2.0,0,0.5,1.0,0.0,0,0.0,1
6657422,,,0.0,0.0,0.0,0.4916666666666667,12,0.25,-2.0,2.0,1,1.0,0.0,1.0,0,0.0,1
7553756,0.2,0.25,0.0,0.0,0.0,0.0,89,0.0,-87.0,0.0,0,0.0,1.0,0.0,0,0.0,0
4889866,,,0.09333333333333334,0.0,0.0,0.4402930402930403,61,0.12857142857142856,-48.0,9.0,0,0.33333333333333337,1.0,0.0,0,1.0,0
8371955,0.5,0.6,0.0,0.0,0.0,0.3278867102396514,98,0.039215686274509776,-89.0,2.0,0,0.33333333333333337,1.0,0.0,1,0.0,0
1780670,0.15384615384615385,0.25,0.0,0.0,0.0,0.4527027027027027,33,0.10810810810810813,-25.0,3.0,0,0.33333333333333337,1.0,0.0,0,0.0,0
8647089,,,0.0,0.0,0.0,0.0,14,0.0,-12.0,0.0,0,0.0,1.0,0.0,0,0.0,1
1840302,0.2325581395348837,0.3333333333333333,0.0,0.0,0.0,0.45,18,0.09999999999999998,-10.0,1.0,0,0.5,1.0,0.0,1,0.0,1
7689670,,,0.0,0.0,0.0,0.3757703081232493,30,0.11764705882352945,-10.0,3.0,0,0.33333333333333337,1.0,0.0,0,0.0,0
8990394,0.16666666666666666,0.5,0.0,0.0,0.0,0.2969696969696969,30,0.09090909090909094,-20.0,2.0,1,1.0,0.0,1.0,1,0.0,1
2107152,0.21428571428571427,0.25,0.017241379310344827,0.0,0.0,0.4539141414141414,29,0.12121212121212124,3.0,7.0,0,0.33333333333333337,1.0,0.0,1,0.0,0
5685737,,,0.0,0.0,0.0,0.3074074074074074,9,0.09999999999999998,0.0,1.0,1,1.0,0.0,1.0,1,0.0,1
6244442,0.07142857142857142,0.0,0.0,0.0,0.0,0.3896825396825396,27,0.09999999999999998,-13.0,2.0,1,1.0,0.0,1.0,1,0.0,1
4889505,,,0.0,0.0,0.0,0.27855477855477856,11,0.15384615384615385,0.0,1.0,1,1.0,0.0,1.0,0,0.0,1
5711867,0.3235294117647059,0.6666666666666666,0.0,0.0,0.0,0.3995726495726497,34,0.1282051282051282,-21.0,2.0,0,0.25,1.0,0.0,1,0.0,0
5689800,,,0.0,0.0,0.0,0.3787878787878787,20,0.09090909090909094,-11.0,1.0,1,1.0,0.0,1.0,0,0.0,1
8974565,0.13636363636363635,0.5,0.2325581395348837,0.0,0.0,0.7045454545454546,23,0.303030303030303,-9.0,12.0,1,1.0,0.0,1.0,1,1.0,1
2314553,0.3461538461538461,0.25,0.0,0.0,0.0,0.0,8,0.0,-6.0,0.0,0,0.0,1.0,0.0,1,0.0,1
2272257,,,0.0,0.0,0.0,0.3253968253968254,24,0.1428571428571429,-12.0,2.0,0,0.5,1.0,0.0,1,0.0,1
6178119,,,0.015873015873015872,0.0,0.0,0.4575757575757575,35,0.20454545454545456,-15.0,6.0,0,0.6666666666666667,1.0,0.0,0,0.0,1
7281388,,,0.0,0.0,0.0,0.4318996415770609,28,0.09677419354838712,-22.0,2.0,0,0.5,1.0,0.0,1,0.0,1
2099459,0.21428571428571427,0.25,0.0,0.0,0.0,0.436739417989418,152,0.05000000000000005,-138.0,2.0,0,0.1428571428571429,1.0,0.0,1,0.0,0
2111346,,,0.0,0.0,0.0,0.4924242424242424,29,0.12121212121212124,-18.0,2.0,0,0.33333333333333337,1.0,0.0,0,0.0,0
4410714,,,0.0,0.0,0.0,0.2740740740740741,18,0.09999999999999998,-9.0,2.0,1,1.0,0.0,1.0,1,0.0,1
4889870,0.2380952380952381,0.5,0.029411764705882363,0.0,0.0,0.29914529914529914,17,0.05555555555555558,-4.0,3.0,1,1.0,0.0,1.0,0,0.0,1
1690425,0.0,0.0,0.0,0.0,0.0,0.3638888888888889,28,0.06666666666666665,-16.0,2.0,0,0.5,1.0,0.0,1,0.0,1
