_id,ltable_id,rtable_id,ltable_name,ltable_genus,ltable_family,rtable_name,rtable_genus,rtable_family
0,0,689,ochlockonee moccasinshell,Medionidus,Unionidae,oyster mussel ,Epioblasma ,Unionidae
1,0,690,ochlockonee moccasinshell,Medionidus,Unionidae,oyster mussel ,Epioblasma ,Unionidae
2,0,691,ochlockonee moccasinshell,Medionidus,Unionidae,oyster mussel ,Epioblasma ,Unionidae
3,0,1119,ochlockonee moccasinshell,Medionidus,Unionidae,clubshell pearly mussel ,Pleurobema ,Unionidae
4,0,1130,ochlockonee moccasinshell,Medionidus,Unionidae,cumberland bean pearly mussel ,Villosa ,Unionidae
5,0,1378,ochlockonee moccasinshell,Medionidus,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
6,0,1379,ochlockonee moccasinshell,Medionidus,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
7,42,689,higgins eye pearly mussel,Lampsilis,Unionidae,oyster mussel ,Epioblasma ,Unionidae
8,42,690,higgins eye pearly mussel,Lampsilis,Unionidae,oyster mussel ,Epioblasma ,Unionidae
9,42,691,higgins eye pearly mussel,Lampsilis,Unionidae,oyster mussel ,Epioblasma ,Unionidae
10,42,1119,higgins eye pearly mussel,Lampsilis,Unionidae,clubshell pearly mussel ,Pleurobema ,Unionidae
11,42,1130,higgins eye pearly mussel,Lampsilis,Unionidae,cumberland bean pearly mussel ,Villosa ,Unionidae
12,42,1378,higgins eye pearly mussel,Lampsilis,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
13,42,1379,higgins eye pearly mussel,Lampsilis,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
14,43,689,yellow lampmussel,Lampsilis,Unionidae,oyster mussel ,Epioblasma ,Unionidae
15,43,690,yellow lampmussel,Lampsilis,Unionidae,oyster mussel ,Epioblasma ,Unionidae
16,43,691,yellow lampmussel,Lampsilis,Unionidae,oyster mussel ,Epioblasma ,Unionidae
17,43,1119,yellow lampmussel,Lampsilis,Unionidae,clubshell pearly mussel ,Pleurobema ,Unionidae
