_id,ltable_id,rtable_id,ltable_Unnamed: 0,ltable_name,ltable_genus,ltable_family,ltable_ecology,ltable_countries,ltable_threat_paragraph,ltable_conservation_paragraph,ltable_pop_trend,ltable_status,ltable_country_count,ltable_scientific_name,ltable_block,rtable_Unnamed: 0,rtable_scientific_name,rtable_name,rtable_kingdom,rtable_phylum,rtable_class,rtable_order,rtable_family,rtable_genus,rtable_size,rtable_threats,rtable_conservation,rtable_threat_keywords,rtable_conservation_keywords,rtable_tCount,rtable_cCount,rtable_block,label
4889667,6112,617,6112,,Shorea,Dipterocarpaceae,Terrestrial,"Brunei Darussalam; Malaysia (Sabah, Sarawak); ","
    The main source of balau timber for Sabah. Logging poses a severe threat because the trees are unable to reach reproductive maturity between cutting cycles.

    
  ",['\n    The species is known to occur in some primary forest reserves.\n\n    \n  '],,"
    Critically Endangered


    A1cd

    ",2,Shorea superba,yes,617,Shorea roxburghii,meranti ,Plantae,Tracheophyta,Magnoliopsida,Theales,Dipterocarpaceae,Shorea ,,Unrestricted exploitation of <strong>dipterocarps</strong> for their high quality timber has left many species in this family endangered (6).,There are no specific conservation measures in place for <i>Shorea roxburghii</i> but several populations are recorded in forest reserves and there are healthy regenerating populations in the south of India (1). , , ,0,0.0,yes,0
1722519,4964,217,4964,,Cobitis,Cobitidae,Freshwater,Bosnia and Herzegovina; Croatia; ,"
    Water abstraction, and climate change.

    
  ",['\n    No information.\n\n    \n  '],Unknown,"
    Critically Endangered


    B1ab(ii,iii)

    ",2,Cobitis illyrica,yes,217,Cobitis turcica,cobitis ,Animalia,Chordata,Actinopterygii,Cypriniformes,Cobitidae,Cobitis ,Maximum length: 8.1 cm (2),The distribution of <em>Cobitis turcica</em> can be split into five separate populations all of which are under threat and in decline. Drought and water pollution are the main threats while competition with introduced species including <em>Sander lucioperca</em> is also thought to be affecting this species. In total <em>Cobitis turcica</em> is thought to occupy an area no greater than 500 square kilometres (1).,<em>Cobitis turcica</em> has not been the target of any known conservation measures. ,pet;pollution; , ,2,0.0,yes,0
2033115,6875,256,6875,,Cycas,Cycadaceae,Terrestrial,Thailand; ,"
    Local inhabitants treasure the plant for gardening purposes and large numbers have been removed from the wild.

    
  ",['\n    This species is listed on Appendix II of the CITES Appendices. Plants occur within the Khao Chamao-Khao Wong National Park.\n\n    \n  '],Decreasing,"
    Critically Endangered


    B1ab(i,iii,iv,v)+2ab(i,iii,iv,v)

    ",1,Cycas chamaoensis,yes,256,Cycas circinalis,cycad ,Plantae,Tracheophyta,Cycadopsida,Cycadales,Cycadaceae,Cycas ,Trunk height: to 7 m (2)Trunk diameter: 12 â?? 27 cm (2),While in many areas <i>Cycas circinalis</i> remains abundant in others its habitat has been severely reduced and degraded (2). In addition this cycad is used in numerous ways by the local human population and some of this exploitation is having a negative impact on cycad numbers. <i>Cycas circinalis</i> is heavily harvested for its leaves with young leaves being used as food and medicine by indigenous and local communities and the mature leaves being sold in the floriculture industry (7). The biggest impact on <i>C. circinalis </i>populations however comes from the harvest of pith and male cone for the medicinal plant industry. While much of this harvest is illegal it is very difficult to patrol (7). It is not only the cycad itself that this harvesting may threaten; the harvesting of its seeds for human consumption appears to have little negative impact on <i>Cycas circinalis</i> populations but very heavy seed harvest could have an impact on the bats which reportedly feed on the seeds (7).,Significant populations of <i>Cycas circinalis</i> still exist in a number of national parks and forest reserves (2) which offers this species some protection. To reduce harvesting pressure on populations it has been suggested that people need to be encouraged to use substitutes. For example the floriculture industry could use leaves from cultivated palms that are faster growing. A substitute for the pith and male cone for the medicinal plant industry is not likely and thus in these cases populations need to be increased through cultivation (7). , , ,0,0.0,yes,0
7270150,4180,918,4180,,Eleutherodactylus,Eleutherodactylidae,Terrestrial,Cuba; ,"
    The major threat to the species is disturbance of its habitat by tourists.

    
  ","['\n    Its range includes Parque Nacional ViÃ±ales, which is a well-managed protected area, and several nearby reserves.\n\n    \n  ']",Decreasing,"
    Endangered


    B1ab(iii)

    ",1,Eleutherodactylus klinikowskii,yes,918,Eleutherodactylus schwartzi,virgin islands coqui ,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Eleutherodactylus ,Female snout-vent length: up to 34 mm (2),Currently almost a quarter of all amphibian species on the British Virgin Islands are categorised as endangered indicating that the islandsâ?? unique fauna is facing a wealth of threats. Habitat degradation and conversion to developments for tourism human settlements and road construction are particularly severe problems while predation from introduced mammals such as rats and mongoose also threatens many native species (6). As a result of these threats the range of the Virgin Islands coqui has become highly fragmented and there is an ongoing decline in the quality of its habitat. The small distinct population on Great Dog is particularly vulnerable. The Virgin Islands coqui also appears to be declining with the spread of the predatory Cuban tree frog (<em>Osteopilus septentrionalis</em>) (1).<em>  </em>,A number of conservation recommendations have been made to protect the native fauna of the British Virgin Islands including the creation of protected areas and minimising the impacts of development through the better enforcement of protective legislation. Increased monitoring efforts for amphibian populations may also be required given the potential for deadly diseases such as the fungus chytridiomycosis to break out on the island especially as disease has been associated with dramatic amphibian declines on nearby islands (6). Additional study and protection of the Virgin Islands coqui population on Great Dog is a conservation priority for the species while there is also a need to afford its habitat on Tortola and Virgin Gorda increased protection and control invasive predators (1) (6). , ,protected; ,0,1.0,yes,0
11198620,6810,1414,6810,,Nepenthes,Nepenthaceae,Terrestrial,Malaysia; ,,['\n    On CITES Appendix II.\n\n    \n  '],,"
    Critically Endangered


    B1+2c, C2b

    ",1,Nepenthes macrophylla,yes,1414,Nepenthes macrophylla,pitcher plant ,Plantae,Tracheophyta,Magnoliopsida,Nepenthales,Nepenthaceae,Nepenthes ,Length: up to 10 m (2)Pitcher height: up to 28 cm (2)Pitcher width: up to 9 cm (2),<i>Nepenthes</i> species are threatened by a combination of over-collection and habitat loss (2).  The biodiversity of Malaysia is significantly threatened by widespread habitat destruction caused by illegal and commercial logging and large agricultural projects such as rubber and oil palm plantations (7).  The Critically Endangered <i>Nepenthes macrophylla</i> has a highly localised distribution growing on only one mountain making it particularly susceptible to extinction from habitat destruction or catastrophic environmental events such as drought or fire. In addition montane species such as <i>Nepenthes macrophylla</i> take longer to recover than lowland plants after such events as growth is slower (2).,<i>Nepenthes macrophylla</i> is listed under Appendix II of the Convention on International Trade in Endangered Species (CITES) limiting the international export of this species (3).  However trade is very difficult to regulate and there is no requirement for internationally traded <i>Nepenthes</i> to be identified down to species level.  Plants simply labelled as <i>Nepenthes </i>accounted for 94 percent of all exported <i>Nepenthes </i>plants between 1988 and 1993.  This needs to be remedied and urgent attention is required to close other trade loopholes (2).  <i>Nepenthes</i> species including <i>Nepenthes macrophylla</i> are being increasingly cultivated helping to reduce the impact on wild populations.  Artificial propagation can help make conservation efforts more effective together with the establishment of more habitat reserves and the implementation and enforcement of protective laws (8). ,loss;environmental;environment; ,cites; ,3,1.0,yes,1
8221156,5386,1038,5386,,Neolebias,Distichodontidae,Freshwater,Nigeria; ,"
    The major threat to this species is oil exploration within the delta.

    
  ",['\n    None known.\n\n    \n  '],Unknown,"
    Critically Endangered


    B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)

    ",1,Neolebias powelli,yes,1038,Neolebias lozii,banded neolebias ,Animalia,Chordata,Actinopterygii,Characiformes,Citharinidae,Neolebias ,Length: up to 18 mm (2),Despite the absence of any immediate threats to the banded neolebias its low abundance and highly limited range mean that it may be highly susceptible to future pressures. Although the region is still relatively undisturbed Sianda creek and parts of Kataba creek have already been developed into canals reducing habitat availability for the fish. As the local human population increases it is likely that intensified agriculture will lead to pollution of the banded neolebiasâ??s habitat from fertilisers and herbicides. Deforestation will also be likely in the area surrounding the floodplain causing various negative effects on the local ecosystem (1).,There are currently no measures in place to protect the banded neolebias. However various strategies have been proposed including further study of its biology assessments of its population and analysis of its threats. In addition the creation of a protected area encompassing its range continual population monitoring and prevention of invasion by the Nile tilapia have been recommended (1). The banded neolebias is a tiny fish with no economic value (4) nevertheless as a unique component of Zambiaâ??s biodiversity its preservation is important. ,pet;pollution; ,protected; ,2,1.0,yes,0
11261940,6810,1422,6810,,Nepenthes,Nepenthaceae,Terrestrial,Malaysia; ,,['\n    On CITES Appendix II.\n\n    \n  '],,"
    Critically Endangered


    B1+2c, C2b

    ",1,Nepenthes macrophylla,yes,1422,Nepenthes lavicola,pitcher plant ,Plantae,Tracheophyta,Magnoliopsida,Nepenthales,Nepenthaceae,Nepenthes ,Height: 3 m (2)Pitcher height: 10 cm (2)Pitcher width: 4 cm (2),<i>Nepenthes</i> species are threatened by a combination of over-collection and habitat loss (6).  In Indonesia habitat destruction is a major problem as a result of illegal and commercial logging and large agricultural projects such as rubber and oil palm plantations (7).  Sumatra has a very high rate of habitat loss with some areas losing up to 65 percent of their forest cover in the last 25 years (8).Â Only 33.8 percent of Sumatra remains covered by <strong>primary forest</strong> and only 1.3 percent of this is upper montane vegetation in which <i>Nepenthes lavicola </i>is found.  The highly localised distribution of <i>Nepenthes lavicola</i> makes it particularly susceptible to the impacts of habitat disturbance or catastrophic environmental events such as drought or fire.  In addition highland plants such as <i>Nepenthes lavicola</i> take longer than lowland plants to recover from any disturbance as growth is slower (2).,<i>Nepenthes lavicola </i>is listed on Appendix II of the Convention of International Trade in Endangered Species (CITES) which limits international trade in this species.  However this is very difficult to regulate.  Trade in <i>Nepenthes</i> species does not need to be identified down to species level and plants simply labelled as <i>Nepenthes </i>accounted for 94 percent of exported plants between 1988 and 1993.  This needs to be remedied and urgent attention is required to close other trade loopholes. Presently over-collection does not seem to pose an extensive threat for <i>Nepenthes lavicola</i> and artificial cultivation reduces this threat further (2).  Conservation efforts can be made more effective not only by the implementation and enforcement of protective laws but also by the encouragement of artificial propagation and establishment of habitat reserves (9). ,loss;environmental;environment; ,cites; ,3,1.0,yes,0
2099293,1818,265,1818,white meranti,Shorea,Dipterocarpaceae,Terrestrial,Indonesia (Kalimantan); Malaysia (Sarawak); ,,['\n    There are subpopulations present in forest reserves.\n\n    \n  '],,"
    Endangered


    A1cd

    ",2,Shorea agami,yes,265,Shorea platyclados,dark red meranti ,Plantae,Tracheophyta,Magnoliopsida,Theales,Dipterocarpaceae,Shorea ,Trunk diameter: up to 172 cm (2),Dipterocarp forests have become amongst the most endangered in the world widely logged for use in furniture-making general construction and boat-building (7). Furthermore the slow growth of these trees and late flowering mean that many trees are cut down before having a chance to reproduce (4).,Some subpopulations of this species are found in primary forest reserves where they receive varying levels of protection (1). Furthermore because of their high economic value there have been efforts to replant dipterocarp forests which may include species such as this dark red meranti (4). , , ,0,0.0,yes,0
11257899,2769,1422,2769,,Nepenthes,Nepenthaceae,,Indonesia (Sumatera); ,,['\n    This species is currently listed on CITES Appendix II.\n\n    \n  '],,"
    Endangered


    C2b

    ",1,Nepenthes talangensis,yes,1422,Nepenthes lavicola,pitcher plant ,Plantae,Tracheophyta,Magnoliopsida,Nepenthales,Nepenthaceae,Nepenthes ,Height: 3 m (2)Pitcher height: 10 cm (2)Pitcher width: 4 cm (2),<i>Nepenthes</i> species are threatened by a combination of over-collection and habitat loss (6).  In Indonesia habitat destruction is a major problem as a result of illegal and commercial logging and large agricultural projects such as rubber and oil palm plantations (7).  Sumatra has a very high rate of habitat loss with some areas losing up to 65 percent of their forest cover in the last 25 years (8).Â Only 33.8 percent of Sumatra remains covered by <strong>primary forest</strong> and only 1.3 percent of this is upper montane vegetation in which <i>Nepenthes lavicola </i>is found.  The highly localised distribution of <i>Nepenthes lavicola</i> makes it particularly susceptible to the impacts of habitat disturbance or catastrophic environmental events such as drought or fire.  In addition highland plants such as <i>Nepenthes lavicola</i> take longer than lowland plants to recover from any disturbance as growth is slower (2).,<i>Nepenthes lavicola </i>is listed on Appendix II of the Convention of International Trade in Endangered Species (CITES) which limits international trade in this species.  However this is very difficult to regulate.  Trade in <i>Nepenthes</i> species does not need to be identified down to species level and plants simply labelled as <i>Nepenthes </i>accounted for 94 percent of exported plants between 1988 and 1993.  This needs to be remedied and urgent attention is required to close other trade loopholes. Presently over-collection does not seem to pose an extensive threat for <i>Nepenthes lavicola</i> and artificial cultivation reduces this threat further (2).  Conservation efforts can be made more effective not only by the implementation and enforcement of protective laws but also by the encouragement of artificial propagation and establishment of habitat reserves (9). ,loss;environmental;environment; ,cites; ,3,1.0,yes,0
8882428,1798,1122,1798,,Ilex,Aquifoliaceae,,Malaysia (Peninsular Malaysia); ,,,,"
    Endangered


    D

    ",1,Ilex pauciflora,yes,1122,Ilex cookii,cooks holly ,Plantae,Tracheophyta,Magnoliopsida,Celastrales,Aquifoliaceae,Ilex ,Max height: 2-3 m (2),Having last been reviewed on the IUCN Red List in 1998 the conservation status of Cookâ??s holly is in urgent need of updating (1). The construction of communication towers on Cerro de Punta is thought to have destroyed a large part of the original population with further development and construction activities being cited as the main threat to the remaining plants (1) (3). The highly restricted range of Cookâ??s holly also makes it extremely vulnerable to natural disturbances such as landslides and hurricanes (2).,Cookâ??s holly was listed on the US Endangered Species Act in 1987 and a Recovery Plan was drawn up by the US Fish and Wildlife Service in 1991 (1) (2). Several necessary actions were outlined in the plan including: the protection and monitoring of existing populations; the undertaking of research into the speciesâ?? life history and reproductive biology; and the propagation of seedlings for the enhancement of existing populations and the establishment of new ones (2). However since none of these measures appear to have been implemented thus far (5) an up-to-date evaluation of the condition of the remaining plants seems to be seriously overdue. , ,endangered species act; ,0,1.0,yes,0
