_id,ltable_id,rtable_id,ltable_name,ltable_genus,ltable_family,ltable_ecology,ltable_countries,ltable_threat_paragraph,ltable_conservation_paragraph,ltable_pop_trend,ltable_status,ltable_country_count,ltable_block,rtable_Unnamed: 0,rtable_scientific_name,rtable_name,rtable_kingdom,rtable_phylum,rtable_class,rtable_order,rtable_family,rtable_genus,rtable_size,rtable_threats,rtable_conservation,rtable_threat_keywords,rtable_conservation_keywords,rtable_tCount,rtable_cCount,rtable_block
2985534,6308,1578,dark red meranti,Shorea,Dipterocarpaceae,Terrestrial,Indonesia (Kalimantan); Malaysia (Sarawak); ,,['\n    Some subpopulations occur in forest reserves.\n\n    \n  '],,"
    Critically Endangered


    A1cd, C2a

    ",2,yes,1578,Shorea contorta,white lauan ,Plantae,Tracheophyta,Magnoliopsida,Theales,Dipterocarpaceae,Shorea ,Height: up to 50 m (2)Trunk diameter: up to 182 cm (2),Numbers of white lauan have become depleted due to logging and <strong>slash-and-burn</strong> agriculture (2) (4).  The valuable timber of the white lauan is used for general construction and for furniture making (2).,The white lauan most likely occurs in a number of protected areas throughout the Philippines such as the Sierra Madre.  However despite this so-called protection illegal logging activities can continue to pose a threat (5). , ,protected; ,0,1.0,yes
2764025,5446,1461,vanikoro flying fox,Pteropus,Pteropodidae,Terrestrial,Solomon Islands; ,"
    This island was extensively logged in the 1950s and 1960s; there is some regeneration now, and logging has once again been proposed. Opportunistic hunting may be a threat to this species.

    
  ",['\n    It is listed on Appendix II of CITES. It is not known if this species is present in any protected areas. Further surveys urgently needed to confirm the presence of this species.\n\n    \n  '],Unknown,"
    Critically Endangered

      (Possibly Extinct)

    D

    ",1,yes,1461,Pteropus rodricensis,rodrigues flying fox ,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus ,350 g (2),This species is in grave danger of extinction in the wild on Rodrigues Island as a result of habitat loss shooting and hunting for meat (5). These are believed to be the causes of its extinction in Mauritius where the species was once found in the wild. Now it is only observed there in captivity. These bats also face severe natural threats annually of tropical cyclones which blow animals out to sea where they die as well as destroy their habitats depriving them of food and shelter (4).,In 1976 the Rodrigues fruit bats were on the brink of extinction. This species‚?? survival in the wild seemed unlikely prompting the Jersey Preservation Trust to collect 25 bats for a captive breeding project (5). This species is now part of an international Species Program (SSP) with 16 participating North American Institutes (5) and in 1992 was listed as ‚??Priority Grade 1‚?? in the IUCN‚??s <i>Action Plan for Old World Fruit Bats</i> putting it into the most urgent conservation category (8). ,loss;hunting; ,captive breeding; ,2,1.0,yes
2075992,6618,1097,catalina mahogany,Cercocarpus,Rosaceae,,United States (California); ,,,,"
    Critically Endangered


    D

    ",1,yes,1097,Cercocarpus traskiae,catalina mahogany ,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Cercocarpus ,Height: 3 - 7 m (2)Trunk diameter: c. 20 cm (2),Historically a major threat to the Catalina mahogany was the introduction of <strong>herbivores</strong> such as goats deer and pigs to Santa Catalina Island. Goats and deer ate the seedling shoots and the leaves of the tree while pigs rooting through the ground destroyed seedlings and the roots (6).,Conservation efforts began in the 1970s with a detailed inventory of the remaining Catalina mahogany plants (8). In 1999 the entire Wild Boar Gully area was fenced off enclosing 45 hectares (4). This action was successful and resulted in the numbers of seedlings and saplings increasing year after year reaching a peak of 113 individuals in 2002. However it is not known what portion of these seedlings and saplings are the Catalina mahogany and which are <strong>hybrids</strong> (6). ,loss;invasive; , ,2,0.0,yes
1360833,5152,719,attenborough's pitcher plant,Nepenthes,Nepenthaceae,Terrestrial,Philippines; ,"
    The main threat to this species is from poaching; the mountain is relatively inaccessible to casual hikers, therefore potential for habitat destruction is limited, but the monetary value of these plants is high, particularly on the Taiwanese and Japanese markets. A nickel mine operates at the base of the mountain; currently, operations have been suspended but the area, including the summit, has been prospected for other potential mining activities.

    
  ","['\n    There are no ', <span style=""font-style: italic;"">in situ</span>, "" conservation measures currently in place for this species. Mount Victoria is subject to mining at its base and has no status as a 'Protected Area' (the local designation for National Parks). However, all plants of the genus "", <span style=""font-style: italic;"">Nepenthes</span>, ' are included in Appendix II of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES).\n\n    \n  ']",Unknown,"
    Critically Endangered


    B1ab(v)+2ab(v)

    ",1,yes,719,Nepenthes burbidgeae,pitcher plant ,Plantae,Tracheophyta,Magnoliopsida,Nepenthales,Nepenthaceae,Nepenthes ,Height: up to 15 m (2),<i>Nepenthes</i> species are threatened by a combination of over-collection and habitat loss (2).  The biodiversity of Indonesia is significantly threatened by widespread habitat destruction caused by illegal and commercial logging and large agricultural projects such as rubber and oil palm plantations (7).  <i>Nepenthes burbidgeae</i> has a highly localised distribution making this species particularly susceptible to extinction throught habitat destruction or catastrophic environmental events such as drought or fire. In addition montane species such as <i>Nepenthes burbidgeae</i> take longer to recover than lowland plants after such events as growth is slower (2).,<i>Nepenthes burbidgeae</i> is found only on Mount Kinabalu which is situated within Kinabalu National Park.  This region‚??s protected status along with the inaccessibility of many areas offers this species some degree of protection particularly from collectors (2). It is listed under Appendix II of the Convention on International Trade in Endangered Species (CITES) which limits the international export of this species (3).  However trade is very difficult to regulate as there is no requirement for internationally traded <i>Nepenthes</i> to be identified down to species level and plants simply labelled as <i>Nepenthes </i>accounted for 94 percent of all exported <i>Nepenthes </i>plants between 1988 and 1993.  This needs to be remedied and urgent attention is required to close other trade loopholes (2).  <i>Nepenthes</i> species including <i>Nepenthes burbidgeae</i> are being increasingly cultivated helping to reduce the impact on wild populations.  Conservation efforts can be made more effective not only by the implementation and enforcement of protective laws but also by the encouragement of artificial propagation and the establishment of habitat reserves (8). ,loss;environmental;environment; ,cites;protected; ,3,2.0,yes
1477807,4420,781,"black web-fotted salamander , cordillera central salamander",Bolitoglossa,Plethodontidae,Terrestrial,Costa Rica; ,"
    Outside of protected areas the main threat to it is habitat loss due to the destruction of natural forests for agricultural development, wood extraction, and human settlement. However, since it lives in a relatively cold region the pressure on its habitats is not very severe.

    
  ",['\n    It has been recorded from the Zona Protectora Cerros de Escazu and from the Reserva Forestal Los Santos.\n\n    \n  '],Decreasing,"
    Endangered


    B1ab(iii)

    ",1,yes,781,Bolitoglossa salvinii,salvins mushroomtongue salamander ,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa ,Snout-vent length: 51 - 68 mm (2) (3)Tail length: c. 51 mm (2),Salvin‚??s mushroomtongue salamander was once relatively common but has undergone a decline as a result of the loss and fragmentation of its forest habitat mainly due to subsistence agriculture and wood extraction (1) (8). Since lungless salamanders need a damp environment to maintain the moist skin on which oxygen uptake depends (4) any alteration in moisture conditions poses a severe threat. Therefore although it still survives in shaded plantations and sugarcane fields any clearance of these to create more open drier habitats would have a negative impact on this species (1). Similarly climate change may also pose a threat and already appears to be causing dramatic declines in other Central American salamanders (12). Although there is not yet any direct evidence that the fungal disease chytridiomycosis has contributed to these declines its role in the decline of many other amphibian species suggests that it may also be a potential threat (12).,No specific conservation measures are currently known to be in place for Salvin‚??s mushroomtongue salamander but the maintenance of shaded habitats has been identified as being important to its long-term survival (1). The species may potentially occur within the Parque Nacional El Imposible in El Salvador although this is not yet confirmed. It is not currently known from any protected areas in Guatemala but a number of protected areas have been proposed within its range and may benefit the species in the future (1). ,loss;fragmentation;environment;disease; ,protected; ,4,1.0,yes
923422,2080,488,"commoner lignum vitae, guaiac tree",Guaiacum,Zygophyllaceae,Terrestrial,"Thailand; Anguilla; Antigua and Barbuda; Bahamas; Barbados; Bonaire, Sint Eustatius and Saba (Saba, Sint Eustatius); Colombia; Cuba; CuraÂ’_ao; Dominica; Dominican Republic; Grenada; Guadeloupe; Haiti; Jamaica; Martinique; Montserrat; Puerto Rico; Saint BarthÂ’Â©lemy; Saint Martin (French part); Saint Vincent and the Grenadines; Sint Maarten (Dutch part); Turks and Caicos Islands; Venezuela, Bolivarian Republic of; Virgin Islands, British; Virgin Islands, U.S.; ","
    The timber and medicinal resin have been traded for several centuries as lignum-vitae and overexploitation has taken place throughout the species' range.

    
  ","['\n    The species is listed in Appendix II of ', <a href=""http://www.cites.org/"">CITES</a>, '.\n\n    \n  ']",,"
    Endangered


    C2a

    ",26,yes,488,Guaiacum sanctum,holywood lignum vitae ,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Zygophyllaceae,Guaiacum ,Height: up to 10 m (3) (4),The main threat the holywood lignum vitae faces is over harvesting. The tree is sought after for both its high quality timber and medicinal resin which are of commercial value and have been traded for several centuries (1) (4) This has led to intense logging making it extremely rare across its entire range (1) and close to local extinction in 11 countries (8). The holywood lignum vitae was previously found in El Salvador but has now gone regionally extinct there (1) (4). Regeneration of the holywood lignum vitae is being encouraged but due to the slow growth rate of this species progress is slow (1).,The holywood lignum vitae is included on the convention on the†Convention on International Trade in Endangered Species (CITES) Appendix II regulates its international trade (2). There has been recent consideration of it being re-categorised to CITES Appendix I making international trade of wild trees illegal (4). This species is also found in some protected areas. For example in Mexico the holywood lignum vitae is protected at ten sites with the majority of the area protected being located in the Calakmul region in Campeche (8). ,loss; ,cites;protected; ,1,2.0,yes
1812222,2777,958,"bornean agile gibbon, bornean white-bearded gibbon",Hylobates,Hylobatidae,Terrestrial,Indonesia (Kalimantan); ,"
    This species was certainly affected by fires of 1990s and continuing deforestation (legal and illegal logging, draining of peat swamps, expanding oil palm plantations, etc), but no recent surveys are available on population trends. A large part of the species range is in peat swamp - an extremely threatened ecosystem. From 2003-2004, Nijman (2005) observed 79 individuals in markets in Kalimantan. It is also hunted for human consumption.

    
  ","['\n    Bornean white-bearded gibbons are protected throughout their range by Indonesian law and are listed on CITES, Appendix I. They are found in a number of protected areas, including Bukit Baka - Bukit Raya National Park, Ganung Palung National Park, and Tanjung Puting National Park.\n\n    \n  ']",Decreasing,"
    Endangered


    A4cd

    ",1,yes,958,Hylobates lar,whitehanded gibbon ,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hylobates ,Head-body length: 45-50 cm (2)Male weight: c. 5.7 kg (3)Female weight: c.5.3 kg (3),Rapid loss of habitat poses the principle threat to gibbons placing their future in great peril (3) (8). With breathtaking speed the forests of Southeast Asia are being cut down due to logging and agriculture leaving forest inhabitants an ever smaller region in which to live. The white-handed gibbon is sometimes hunted for its meat (8) and the capture of young gibbons for the pet trade is rampant in some countries particularly Thailand (5). Frequently the mother is shot so that the young can be taken (5).,The white-handed gibbon is protected from international trade by its listing on Appendix I of the Convention on International Trade in Endangered Species (CITES) (4). Other efforts are being made to save these primates such as national parks and reserves but they are not terribly effective as they are often poorly supervised and laws against capture un-enforced (8). The highest priority in protecting this primate must be given to preserving adequate areas of suitable habitat (3). Action is required now if we are to prevent this agile and intelligent lesser ape from becoming more critically endangered. ,loss;pet; ,cites;protected; ,2,2.0,yes
1737633,7436,918,"short-nosed green frog, shortsnout robber frog",Eleutherodactylus,Eleutherodactylidae,Terrestrial,Haiti; ,"
    Severe habitat destruction is taking place in its range, primarily due to logging by local people (charcoaling) and slash-and-burn agriculture.

    
  ","['\n    Although it occurs in the Parc National Macaya, there is no active management of this area for conservation, and the habitat continues to be destroyed. Urgent site-based action is required in the Massif de la Hotte to conserve the remaining habitat in the area, in order to ensure the persistence of this species as well as other threatened amphibians known only from this area. Survey work in the region is required to determine the population status of this species.\n\n    \n  ']",Decreasing,"
    Critically Endangered


    A3c

    ",1,yes,918,Eleutherodactylus schwartzi,virgin islands coqui ,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Eleutherodactylus ,Female snout-vent length: up to 34 mm (2),Currently almost a quarter of all amphibian species on the British Virgin Islands are categorised as endangered indicating that the islands‚?? unique fauna is facing a wealth of threats. Habitat degradation and conversion to developments for tourism human settlements and road construction are particularly severe problems while predation from introduced mammals such as rats and mongoose also threatens many native species (6). As a result of these threats the range of the Virgin Islands coqui has become highly fragmented and there is an ongoing decline in the quality of its habitat. The small distinct population on Great Dog is particularly vulnerable. The Virgin Islands coqui also appears to be declining with the spread of the predatory Cuban tree frog (<em>Osteopilus septentrionalis</em>) (1).<em>† </em>,A number of conservation recommendations have been made to protect the native fauna of the British Virgin Islands including the creation of protected areas and minimising the impacts of development through the better enforcement of protective legislation. Increased monitoring efforts for amphibian populations may also be required given the potential for deadly diseases such as the fungus chytridiomycosis to break out on the island especially as disease has been associated with dramatic amphibian declines on nearby islands (6). Additional study and protection of the Virgin Islands coqui population on Great Dog is a conservation priority for the species while there is also a need to afford its habitat on Tortola and Virgin Gorda increased protection and control invasive predators (1) (6). , ,protected; ,0,1.0,yes
1836506,1107,971,patternless whistling frog,Eleutherodactylus,Eleutherodactylidae,Terrestrial,Haiti; ,"
    Severe deforestation is taking place within its range in Haiti due to charcoaling and slash-and-burn agriculture.

    
  ","['\n', <p>It occurs within the de la Hotte Biosphere, although improved site management is required. Additional habitat and resource protection is also urgently needed. More information is needed on this species' distribution, population status and natural history.</p>, <p>The  Amphibian Ark Conservation Needs Assessment process  (Amphibian Ark   2011) conducted in the joint IUCN-Amphibian Ark workshop  where this   species was reassessed identified that<span style=""font-style: italic;""> </span>further conservation actions for this taxon should include<span style=""font-style: italic;""> in situÃ_Â_</span>conservation<span style=""font-style: italic;""></span> and conservation education.</p>, '\n']",Unknown,"
    Endangered


    B1ab(iii)

    ",1,yes,971,Eleutherodactylus wightmanae,wightmans robber frog ,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Eleutherodactylus ,Female snout-vent length: 2 cm (2),Already restricted in range Wightman‚??s robber frog populations are in a continuing decline estimated to be greater that 50 percent of the population over a ten year period (1). Threats to this species and its habitat include urban pollution land clearing forest burning and deforestation (1) (4).†,Despite not being the target of any known conservation measures Wightman‚??s robber frog is afforded a degree of protection in a number of well-managed protected areas. A major conservation priority for this species is further research into determining the cause of its decline (1). There is also a need for implementing a monitoring programme of populations such that trends and responses to changes in habitat as well as climate change and natural disturbances such as hurricanes can be assessed (8). ,disease;pollution; ,protected; ,2,1.0,yes
2506562,4480,1325,minor black millipede,Doratogonus,Spirostreptidae,Terrestrial,South Africa (KwaZulu-Natal); ,,,Unknown,"
    Endangered


    B1ab(i,ii,iii)+2ab(i,ii,iii)

    ",1,yes,1325,Doratogonus major,major black millipede ,Animalia,Arthropoda,Diplopoda,Spirostreptida,Spirostreptidae,Doratogonus ,,The single tiny forest area in which the major black millipede occurs is under threat from the extraction of wood by the local community for fuel and building and its population is also likely to be small putting it at increased risk of extinction (1).,The Gwaliweni Forest is managed by KZN Wildlife although wood extraction there continues (1). No specific conservation measures are known to be in place for the major black millipede and despite having an important role in ecosystems as nutrient recyclers (5) <strong>invertebrates</strong> such as millipedes tend to be overlooked in conservation policies (2) (7)†with less than half of South Africa‚??s <strong>invertebrates</strong> even officially named (2). Some efforts are underway to collate information on these species such as the Green Trust Database of Threatened South African Invertebrates (2) and such initiatives will be important in improving the conservation of species such as this little-known millipede (1). , , ,0,0.0,yes
