,animalName,htmlPage,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,ECOLOGY,COUNTRIES,THREAT_PARAGRAPH,CONSERVATION_PARAGRAPH,POP_TREND,STATUS
0,Medionidus simpsonianus (Ochlockonee Moccasinshell),12929.html,Animalia,Mollusca,Bivalvia,Unionoida,Unionidae,Freshwater,"United States (Florida, Georgia); ",NA,NA,NA,"
    Critically Endangered


    A1ce

    "
0,Heteromys nelsoni (Nelson's Spiny Pocket Mouse),10009.html,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Terrestrial,Guatemala; Mexico (Chiapas); ,"
    The main threat to this species is the significant forest loss in its habitat. Habitat fragmentation, landslides, and floods are additional threats.

    
  ","['\n    This species occurs in a newly-named national park, Tacana, in Mexico.\n\n    \n  ']",Decreasing,"
    Endangered


    B1ab(i,ii,iii,v)

    "
0,Amauris comorana (Comoro Friar),1001.html,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,NA,Comoros; ,NA,NA,NA,"
    Endangered


    B1+2c, C2b

    "
0,"Hippoglossus hippoglossus (Atlantic Halibut, Halibut)",10097.html,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,NA,<div>Atlantic – northeast; Atlantic – northwest</div>; Canada (Newfoundland I); Denmark; Faroe Islands; France; Germany; Greenland; Iceland; Netherlands; Norway; Russian Federation; Sweden; United Kingdom; United States (Alaska); ,NA,NA,NA,"
    Endangered


    A1d

    "
0,Hirasea acutissima,10171.html,Animalia,Mollusca,Gastropoda,Stylommatophora,Endodontidae,NA,Japan (Ogasawara-shoto); ,NA,NA,NA,"
    Endangered


    A1d

    "
0,Hirasea chichijimana,10172.html,Animalia,Mollusca,Gastropoda,Stylommatophora,Endodontidae,NA,Japan (Ogasawara-shoto); ,NA,NA,NA,"
    Endangered


    A2b

    "
0,Hirasea diplomphalus,10173.html,Animalia,Mollusca,Gastropoda,Stylommatophora,Endodontidae,NA,Japan (Ogasawara-shoto); ,NA,NA,NA,"
    Endangered


    A2b

    "
0,Hirasea insignis,10174.html,Animalia,Mollusca,Gastropoda,Stylommatophora,Endodontidae,NA,Japan (Ogasawara-shoto); ,NA,NA,NA,"
    Endangered


    A1d

    "
0,Hirasea operculina,10175.html,Animalia,Mollusca,Gastropoda,Stylommatophora,Endodontidae,NA,Japan (Ogasawara-shoto); ,NA,NA,NA,"
    Endangered


    A2b

    "
0,Hirthia littorina,10189.html,Animalia,Mollusca,Gastropoda,Sorbeoconcha,Paludomidae,Freshwater,"Burundi; Congo, The Democratic Republic of the; Tanzania, United Republic of; Zambia; ","
    It is possible that in Tanzania sedimentation could threaten the species.

    
  ",['\n    No information available.\n\n    \n  '],Unknown,"
    Endangered


    B1ab(iii)

    "
0,Hobbseus orconectoides (Oktibbeha Riverlet Crayfish),10207.html,Animalia,Arthropoda,Malacostraca,Decapoda,Cambaridae,Freshwater,United States (Mississippi); ,"
    This species is threatened by habitat degradation through residential and urban developments at its type locality, from which it is now believed to have been extirpated. These developments result usually in complete destruction of the small streams which this species requires (R.L. Jones pers. comm. 2010). In addition, development over intermittent ponds is known to remove habitat   (S. Adams, pers. comm. 2009, R.L. Jones pers. comm 2010).  Due to its restricted distribution and occurrence in one area (two locations 216 metres apart) this species is extremely susceptible to threats.

    
  ","['\n', <span style=""font-style: italic;""></span>, 'This species has been given the Global Heritage Status Rank of G1 by NatureServe   (Taylor ', <em>et al.</em>, "" 2007, NatureServe 2009) and 'threatened' by the American Fisheries Society (Taylor "", <span style=""font-style: italic;"">et al</span>, '. 2007) based on a loss of habitat quality, and a restricted range.', <br/>, <br/>, 'Further research on population trends for this species is needed.\n\n    \n  ']",Unknown,"
    Endangered


    B1ab(iii)

    "
0,Hobbseus yalobushensis (Yalobusha Riverlet Crayfish),10210.html,Animalia,Arthropoda,Malacostraca,Decapoda,Cambaridae,Freshwater,United States (Mississippi); ,"
    The threats to this species include channelization, head-cutting of streams, and loss of riparian strips (NatureServe 2009). Channelization along with headcutting are thought to be affecting the global population of this species (S. Adams pers.comm. 2010). It is thought that this has increased fragmentation of the headwater habitat (S.Adams pers.comm. 2010).

    
  ","['\n    This species has been given the Global Heritage Status Rank of G2 by NatureServe   (Taylor ', <em>et al.</em>, "" 2007, NatureServe 2009)   and 'endangered' by the American Fisheries Society (Taylor "", <span style=""font-style: italic;"">et al.</span>, ' 2007), based on a restricted range, and modification or reduction of the species range.', <br/>, <br/>, 'Further research on site specific threats is needed.\n\n    \n  ']",Unknown,"
    Endangered


    B1ab(iii)

    "
